DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
BachmannDungan2002,FishCanyonTuff,46.79,6.75,14.1511,13.45,0.76,1.36,0.74,1.38,11.88,NA,NA,NA,97.2611,NA
BachmannDungan2002,FishCanyonTuff,45.4,7.93,14.9528,12.55,0.76,1.48,0.94,1.46,11.92,NA,NA,NA,97.3928,NA
BachmannDungan2002,FishCanyonTuff,46.36,8.21,14.9,12.65,0.75,1.5,0.97,1.62,11.72,NA,NA,NA,98.68,NA
BachmannDungan2002,FishCanyonTuff,45.42,8.1,15.326,12.55,0.69,1.5,1.02,1.51,11.65,NA,NA,NA,97.766,NA
BachmannDungan2002,FishCanyonTuff,44.9,8.13,15.0804,12.52,0.68,1.52,0.98,1.65,11.67,NA,NA,NA,97.1304,NA
BachmannDungan2002,FishCanyonTuff,45.12,8.35,15.0923,12.38,0.78,1.48,1.01,1.62,11.89,NA,NA,NA,97.7223,NA
BachmannDungan2002,FishCanyonTuff,47,6.76,14.0571,13.38,0.74,1.35,0.78,1.35,11.79,NA,NA,NA,97.2071,NA
Curryetal2021a,SnowshoeMountainTuff,47.19,7.47,13.52,14.15,0.5398,1.5405,0.8173,1.52,11.38,NA,NA,0.1085,NA,98.2496
Curryetal2021a,SnowshoeMountainTuff,47.48,7.45,13.55,14.16,0.5427,1.5615,0.8512,1.57,11.3,NA,NA,0.125,NA,98.6515
Curryetal2021a,SnowshoeMountainTuff,47.24,7.47,13.59,14.15,0.5552,1.5432,0.83,1.55,11.38,NA,NA,0.1245,NA,98.4692
Curryetal2021a,SnowshoeMountainTuff,47.59,7.14,13.51,14.3,0.5304,1.5152,0.7882,1.55,11.3,NA,NA,0.1145,NA,98.3935
Curryetal2021a,SnowshoeMountainTuff,47.32,7.33,13.49,14.19,0.559,1.548,0.8043,1.55,11.36,NA,NA,0.1104,NA,98.3169
Curryetal2021a,SnowshoeMountainTuff,47.55,7.17,13.56,14.35,0.5622,1.5096,0.7791,1.56,11.5,NA,NA,0.114,NA,98.6698
Curryetal2021a,SnowshoeMountainTuff,47.51,7.06,13.45,14.33,0.5737,1.4762,0.7698,1.55,11.38,NA,NA,0.1184,NA,98.273
Curryetal2021a,SnowshoeMountainTuff,47.46,7.15,13.4,14.42,0.561,1.4793,0.7644,1.53,11.47,NA,NA,0.1056,NA,98.3831
Curryetal2021a,SnowshoeMountainTuff,47.21,7.13,13.28,14.4,0.5265,1.4852,0.7857,1.51,11.27,NA,NA,0.1038,NA,97.7128
Curryetal2021a,SnowshoeMountainTuff,47.16,7.09,13.26,14.24,0.5608,1.4742,0.7834,1.48,11.35,NA,NA,0.1141,NA,97.5666
Curryetal2021a,SnowshoeMountainTuff,47.02,7.16,13.28,14.29,0.5492,1.5094,0.8043,1.52,11.31,NA,NA,0.1063,NA,97.5788
Curryetal2021a,SnowshoeMountainTuff,47.17,7.26,13.29,14.3,0.5452,1.5255,0.8173,1.52,11.28,NA,NA,0.1091,NA,97.8458
