DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,CaO_wt,Na2O_wt,K2O_wt,MnO_wt,TiO2_wt,P2O5_wt
Curryetal2021a,SnowshoeMountainTuff,77.2852277,13.18026996,0.198511417,0.041882175,0.595029646,2.1899836,6.327740633,0.00111013,0.115857197,0.064387536
Curryetal2021a,SnowshoeMountainTuff,77.00658289,13.41125882,0.19799968,0.010161569,0.568746032,2.33414257,6.207611921,0.011670713,0.144475376,0.107249827
Curryetal2021a,SnowshoeMountainTuff,77.45197967,13.09760346,0.192921423,0,0.659839853,2.267282207,6.174295295,0,0.14160392,0.01437295
Curryetal2021a,SnowshoeMountainTuff,76.54170384,13.45584402,0.243771263,0.059860991,0.639204106,2.493349351,6.418829115,0.014733428,0.096024859,0.036575993
Curryetal2021a,SnowshoeMountainTuff,77.31418176,13.12939411,0.37220118,0.069378058,0.683293199,2.289072553,6.090748113,0.008268896,0.043361286,0
Curryetal2021a,SnowshoeMountainTuff,77.62251273,13.00382306,0.412438422,0.019720963,0.659400943,2.112245317,5.996374146,0.022924369,0.129137273,0.021322666
Curryetal2021a,SnowshoeMountainTuff,77.18271059,12.91063551,0.469240361,0.075696883,0.614409715,2.529922355,6.023624656,0.053409472,0.125994149,0.014356305
Curryetal2021a,SnowshoeMountainTuff,77.39868151,13.01020639,0.333486926,0.046680139,0.610455749,2.298871345,6.17382479,0.009034866,0.104503278,0.014154623
Curryetal2021a,SnowshoeMountainTuff,77.52902115,13.20341518,0.348442803,0.035620366,0.610919135,2.467556115,5.770897365,0.016417208,0.017810183,0
Curryetal2021a,SnowshoeMountainTuff,76.95314332,13.5186546,0.32644893,0.010527248,0.585356702,2.324333057,6.014081498,0.077338795,0.115799732,0.07421189
Curryetal2021a,SnowshoeMountainTuff,76.94393951,13.46751854,0.372038906,0.068424518,0.603605693,2.360180036,6.024670092,0,0.159519186,0
Curryetal2021a,SnowshoeMountainTuff,76.73331495,13.48671081,0.436183477,0.00771551,0.642341894,2.520399807,5.997522807,0.031993647,0.143817099,0
Curryetal2021a,SnowshoeMountainTuff,76.63274066,13.51674839,0.424900533,0.082545028,0.613412742,2.641440906,5.871015139,0.032502105,0.155391016,0.029303485
Curryetal2021a,SnowshoeMountainTuff,77.27736391,12.99256841,0.426172198,0.110082851,0.645639911,2.512760736,5.912964749,0.047463258,0.075083684,0
Curryetal2021a,SnowshoeMountainTuff,77.10432463,13.28366222,0.356438145,0.039728744,0.656746705,2.475406379,5.857443078,0.080476174,0.123974056,0.021698007
Curryetal2021a,SnowshoeMountainTuff,76.80983294,13.52752219,0.283796979,0.03281528,0.629611826,2.528883969,6.011117054,0,0.17631941,0
Curryetal2021a,SnowshoeMountainTuff,77.15929911,13.03192176,0.451700502,0.073447236,0.593334564,2.610354472,5.925405399,0.065606247,0.089029961,0
Curryetal2021a,SnowshoeMountainTuff,76.75258915,13.57048047,0.397179798,0.034719946,0.576822234,2.253211851,6.319235055,0,0.095659085,0
Curryetal2021a,SnowshoeMountainTuff,76.71644579,13.64144454,0.441884264,0.092585274,0.604883617,2.217119654,6.086814605,0,0.198719613,0
Curryetal2021a,SnowshoeMountainTuff,76.86814802,13.71803948,0.210739412,0.02653452,0.649942065,2.100222624,6.331402836,0,0.04405345,0.050815143
Curryetal2021a,SnowshoeMountainTuff,76.82245729,13.39002948,0.174235438,0.025583415,0.596155473,2.382971349,6.395853836,0.054467917,0.070251233,0.087891411
Curryetal2021a,SnowshoeMountainTuff,76.53984421,13.80825095,0.19878041,0.007821894,0.583721908,2.409143482,6.39309504,0.040673851,0.003754509,0.014809453
Curryetal2021a,SnowshoeMountainTuff,76.42826561,13.75270198,0.35295469,0.045320218,0.584150455,2.495744703,6.202813195,0.108079321,0.029865397,0
Curryetal2021a,SnowshoeMountainTuff,76.47867668,13.44251529,0.362640069,0.10128063,0.665455814,2.821902065,5.951647991,0.065365513,0.110413332,0
Curryetal2021a,SnowshoeMountainTuff,76.97309456,13.55247475,0.346409938,0.053134798,0.582828777,2.232902018,6.181830587,0.014369138,0.062955432,0
Curryetal2021a,SnowshoeMountainTuff,76.43813624,13.66171907,0.439915535,0.015952307,0.676132384,2.49510438,5.992340848,0.086612845,0.172203106,0.021781034
Curryetal2021a,SnowshoeMountainTuff,76.72063147,13.76566354,0.482715935,0.045885545,0.618843052,2.814313435,5.404297538,0.027531327,0.069440125,0.050678035
Curryetal2021a,SnowshoeMountainTuff,77.00614388,13.43428532,0.58628862,0.012306216,0.715093676,2.850939938,5.189120895,0,0.205718903,0
Curryetal2021a,SnowshoeMountainTuff,76.84461558,13.3289281,0.613233619,0.048684039,0.722026491,2.665785619,5.568301236,0.013174539,0.180532354,0.014615504
Curryetal2021a,SnowshoeMountainTuff,76.63228064,13.6297708,0.401354534,0.070661717,0.587507451,2.522914801,6.040923487,0.074983842,0.039602726,0
Curryetal2021a,SnowshoeMountainTuff,77.01826114,12.76727835,0.699702132,0.047305902,0.631028845,3.221053572,5.474728018,0,0.102053182,0.038482554
Curryetal2021a,SnowshoeMountainTuff,77.02245648,12.43647632,0.572678811,0.069425368,0.729878447,2.983037462,5.933883872,0.002575284,0.249587955,0
Curryetal2021a,SnowshoeMountainTuff,77.25031917,12.468323,0.506299167,0.066497723,0.627252557,2.89861868,5.967744342,0.069375028,0.145570335,0
Curryetal2021a,SnowshoeMountainTuff,77.10170071,12.47907278,0.676917765,0.032503136,0.674679844,3.11177562,5.754653543,0,0.145358286,0.023231749
Curryetal2021a,SnowshoeMountainTuff,77.23352517,12.44087124,0.62470642,0.032486864,0.705444266,3.174126396,5.634606925,0.005006173,0.125899913,0.023220119
Curryetal2021a,SnowshoeMountainTuff,76.95676322,12.56088183,0.63253012,0.067076818,0.59343758,2.830470819,6.227035803,0.131697001,0,0
Curryetal2021a,SnowshoeMountainTuff,77.62821839,12.2931888,0.522808849,0.037619087,0.572860455,3.236741951,5.50889193,0.0667712,0.039655448,0.093136714
Curryetal2021a,SnowshoeMountainTuff,76.83315803,12.71148548,0.660379769,0.02991564,0.745335928,2.991564002,5.844728247,0.05748913,0.125837319,0
Curryetal2021a,SnowshoeMountainTuff,77.46438486,12.31953475,0.721967217,0.057455761,0.702319683,3.154225707,5.458828327,0.007540405,0.10599048,0.007646608
Curryetal2021a,SnowshoeMountainTuff,77.27158426,12.54118239,0.612461481,0.059242969,0.703030768,3.281804737,5.370225933,0.030473901,0.129887012,0
Curryetal2021a,SnowshoeMountainTuff,77.06106156,12.46935857,0.641661276,0.060538098,0.577824969,3.149257797,5.745267602,0.107670571,0.110117629,0.077135537
Curryetal2021a,SnowshoeMountainTuff,77.24887513,12.23388914,0.630288278,0.078812446,0.719771042,3.317306727,5.546452331,0.091595698,0.132903563,0
Curryetal2021a,SnowshoeMountainTuff,77.57684345,12.54393796,0.48798337,0.086009566,0.720146111,2.975636581,5.488630019,0,0.120707802,0
Curryetal2021a,SnowshoeMountainTuff,77.38061292,12.15573706,0.617714215,0.039498225,0.69491529,3.136623726,5.692391206,0.060197829,0.183761794,0.038442122
Curryetal2021a,SnowshoeMountainTuff,77.6562098,12.32503793,0.586709924,0.038542215,0.704983699,2.795369428,5.728389624,0,0.164651495,0
Curryetal2021a,SnowshoeMountainTuff,77.55771035,12.29276474,0.587215101,0.045846401,0.740954071,2.848194414,5.802269662,0.046587567,0.078457697,0
Curryetal2021a,SnowshoeMountainTuff,77.32901788,12.3149362,0.528141406,0.030316906,0.577589325,2.550801725,6.481545368,0.013590337,0.143534868,0.030421447
Curryetal2021a,SnowshoeMountainTuff,77.59894075,12.23425613,0.634042683,0.071812043,0.62062379,2.484591861,6.248171938,0.021910536,0.085650276,0
Curryetal2021a,SnowshoeMountainTuff,77.25148866,12.17736983,0.64409143,0.081667344,0.667988999,2.878098502,6.140636153,0.02774196,0.115643452,0.015169761
Curryetal2021a,SnowshoeMountainTuff,77.51735685,12.35935234,0.682478426,0.077872271,0.725276859,3.05852216,5.469848504,0.008559687,0.100628511,0
Curryetal2021a,SnowshoeMountainTuff,77.6976445,11.95672803,0.634634445,0.033740326,0.749878746,3.110436305,5.66204846,0.064739251,0.090044495,0
Curryetal2021a,SnowshoeMountainTuff,77.33451543,12.14853413,0.62927734,0.0103503,0.700893053,3.000541561,5.802440998,0.041923943,0.225092891,0.106325811
Curryetal2021a,SnowshoeMountainTuff,77.4257722,12.17021868,0.628109728,0.110954461,0.761507969,2.697468384,6.079840849,0.0594286,0.066593751,0
Curryetal2021a,SnowshoeMountainTuff,77.0251932,12.33668392,0.51666454,0.054829706,0.660908845,3.005089673,6.273783703,0.005799296,0.105652626,0.015289053
Curryetal2021a,SnowshoeMountainTuff,77.39892481,12.22475882,0.580728646,0.087950933,0.6526885,2.96676591,5.891450033,0.110885506,0.085741639,0
Curryetal2021a,SnowshoeMountainTuff,77.06794239,12.5760726,0.588252642,0.045290714,0.692105302,2.780639168,6.077381818,0,0.172210039,0
Curryetal2021a,SnowshoeMountainTuff,76.98606656,12.64361964,0.674609236,0.08517472,0.677367072,3.150297846,5.695993076,0,0.086765779,0
Curryetal2021a,SnowshoeMountainTuff,77.43342705,12.38292676,0.481296643,0.035425659,0.654143892,3.039542955,5.75800743,0.096109492,0.119120117,0
Curryetal2021a,SnowshoeMountainTuff,77.32561771,12.29121607,0.67045884,0.107667242,0.716617068,2.974876585,5.748604931,0,0.149484902,0.015350787
Curryetal2021a,SnowshoeMountainTuff,77.20498671,12.22315196,0.628316616,0.072025506,0.704472996,2.870428234,5.920920232,0.124349917,0.220419231,0.03082268
Curryetal2021a,SnowshoeMountainTuff,77.52948282,12.23815124,0.546107632,0.050753891,0.645814128,2.468821853,6.410460176,0,0.110302298,0
Curryetal2021a,SnowshoeMountainTuff,77.47674381,12.5700927,0.225876766,0.10240422,1.013001588,2.299283677,6.04701478,0.056924997,0.200655549,0.008001912
Curryetal2021a,SnowshoeMountainTuff,77.77535851,12.50679773,0.197095575,0.112478626,1.031810813,2.33212565,5.768399285,0.084926523,0.190904091,0
Curryetal2021a,SnowshoeMountainTuff,76.53555817,13.37250065,0.261581204,0.114336977,0.84856691,2.536163916,6.078409385,0.035736855,0.157829044,0.059212091
Curryetal2021a,SnowshoeMountainTuff,76.8448672,13.23938629,0.232603582,0.069488492,0.965210822,2.204822815,6.21739135,0.04472342,0.18150603,0
Curryetal2021a,SnowshoeMountainTuff,76.40848652,13.51777918,0.255254263,0.110113795,0.908176631,2.401529428,6.134911421,0.047191626,0.21655713,0
Curryetal2021a,SnowshoeMountainTuff,76.88540748,13.16205444,0.266340474,0.20228652,0.851091087,2.355532505,6.064463073,0,0.194124806,0.018699622
Curryetal2021a,SnowshoeMountainTuff,76.49062139,13.39433943,0.2649057,0.149465614,0.921259171,2.425989336,6.034134492,0.053865187,0.179790481,0.0856292
Curryetal2021a,SnowshoeMountainTuff,76.94493696,13.07641776,0.261940211,0.081032605,0.927910841,2.399059322,6.126353203,0.005868943,0.150224358,0.026255799
Curryetal2021a,SnowshoeMountainTuff,76.87241725,13.12943434,0.250595454,0.093210568,0.844681317,2.293442858,6.249105768,0.00526019,0.20788271,0.05396955
Curryetal2021a,SnowshoeMountainTuff,76.92788401,13.23792859,0.174040745,0.054472358,0.899054285,2.280964879,6.197142024,0.013331667,0.215181436,0
Curryetal2021a,SnowshoeMountainTuff,76.5078527,13.45043946,0.230608776,0.073773939,0.865669866,2.504348697,6.166958667,0.013565222,0.186678326,0
Curryetal2021a,SnowshoeMountainTuff,76.65061422,13.51259142,0.26963151,0.104316792,0.973588932,2.315853464,5.789633661,0.078160054,0.200776224,0.104730337
Curryetal2021a,SnowshoeMountainTuff,76.71513649,13.43769771,0.277642704,0.095057332,0.92076987,2.415648382,5.908404051,0.028130278,0.183944827,0.017463778
Curryetal2021a,SnowshoeMountainTuff,76.94268673,13.21081677,0.224893514,0.133140263,1.010008226,2.249967231,5.975830398,0,0.241819873,0.010733789
Curryetal2021a,SnowshoeMountainTuff,76.63854094,13.00507634,0.304144277,0.132439875,0.92697525,2.628022616,6.076653083,0.020982631,0.216474274,0.050586838
Curryetal2021a,SnowshoeMountainTuff,76.76559843,13.07659414,0.279194581,0.117028287,0.908234536,2.768188964,5.835920764,0.007540216,0.172598648,0.068998143
Curryetal2021a,SnowshoeMountainTuff,76.75734047,13.08023542,0.19388068,0.079389906,0.959182852,2.560298646,6.080709285,0.115316677,0.168380931,0.00526513
Curryetal2021a,SnowshoeMountainTuff,76.80457413,12.5364299,0.606920796,0.100614699,1.039180132,2.586080623,6.081330215,0.016668098,0.228100392,0
Curryetal2021a,SnowshoeMountainTuff,76.77004616,12.54603831,0.639212072,0.132021063,0.942315476,2.785765546,5.965171875,0.022205378,0.197123192,0
Curryetal2021a,SnowshoeMountainTuff,76.80655308,12.52865651,0.637499467,0.146201502,1.028080841,2.568679171,6.081576377,0,0.183259522,0.019493534
Curryetal2021a,SnowshoeMountainTuff,76.80383386,12.5931346,0.595469533,0.124196473,0.94713843,2.53087308,6.112874898,0.04745387,0.244923201,0
Curryetal2021a,SnowshoeMountainTuff,77.03094862,12.73264217,0.599550721,0.099566598,0.987778507,2.345756281,6.043651554,0.043227474,0.116878075,0
Curryetal2021a,SnowshoeMountainTuff,77.01421202,12.61649007,0.604822595,0.135270627,1.022370747,2.569838394,5.898487336,0.018312628,0.11483333,0.005261086
Curryetal2021a,SnowshoeMountainTuff,77.46110669,12.60332386,0.606566749,0.141596665,1.017624309,1.942885276,6.021927139,0.042417967,0.123286752,0.039162871
Curryetal2021a,SnowshoeMountainTuff,76.79526624,12.85860019,0.532771614,0.127975142,0.926470798,2.636878425,5.996607692,0.002545249,0.122782833,0
Curryetal2021a,SnowshoeMountainTuff,76.64583378,12.82023801,0.53261148,0.144942181,0.953250022,2.684492514,6.022245563,0.02347655,0.159742615,0.013167283
Curryetal2021a,SnowshoeMountainTuff,76.68332211,12.85659823,0.554415451,0.14184843,0.982089988,2.646350267,5.890917645,0.078072403,0.166284078,0
Curryetal2021a,SnowshoeMountainTuff,76.8085528,12.72351258,0.62103343,0.084552416,0.951824432,2.479662197,6.168667842,0,0.162092672,0
Curryetal2021a,SnowshoeMountainTuff,76.62980382,13.03269743,0.580994171,0.122443882,0.988355546,2.569683468,5.845773946,0.009316382,0.220931352,0
Curryetal2021a,SnowshoeMountainTuff,76.81307999,12.74596284,0.558696334,0.111821037,0.931160557,2.545104048,5.979461317,0.043031679,0.186334324,0.085245654
Curryetal2021a,SnowshoeMountainTuff,76.48603845,12.88335879,0.575680574,0.15071291,0.990268281,2.727282904,5.892152243,0.025339308,0.262551862,0.006512914
Curryetal2021a,SnowshoeMountainTuff,76.31559981,13.41597768,0.422351039,0,0.791573572,2.749091358,6.095363611,0.049318905,0.136836795,0.023784274
Curryetal2021a,NelsonMountainTuff,77.30351808,12.36691397,0.401718589,0.054414421,0.674409042,3.091728493,5.936118706,0.033905956,0.126657811,0.010511877
Curryetal2021a,NelsonMountainTuff,77.26131169,12.24937009,0.470174733,0.002154412,0.65648006,3.200840426,5.960539383,0.024108894,0.175020313,0
Curryetal2021a,NelsonMountainTuff,77.42063058,12.37439572,0.171930208,0.023208497,0.57719427,3.028552695,6.223623752,0,0.1803602,0
Curryetal2021a,NelsonMountainTuff,77.71537222,12.24968319,0.153945934,0.020828586,0.666514749,2.794330088,6.1763975,0.044131855,0.11270121,0.065991559
Curryetal2021a,NelsonMountainTuff,77.44564789,12.24096861,0.191488223,0.023411115,0.650262089,3.128480829,6.078491274,0.035274146,0.191068292,0.014802544
Curryetal2021a,NelsonMountainTuff,77.16784056,12.24757185,0.155027404,0.006205165,0.614921693,3.265340999,6.235682344,0.060322343,0.209144582,0.037841335
Curryetal2021a,NelsonMountainTuff,77.41495967,12.64444341,0.147501303,0.014554012,0.581954057,2.673396607,6.337704698,0.012799273,0.131605431,0.041081539
Curryetal2021a,NelsonMountainTuff,77.20900129,12.57721666,0.095656266,0.018579979,0.564851784,3.113677825,6.206938091,0.051758513,0.15711312,0.005206478
Curryetal2021a,NelsonMountainTuff,78.15147561,11.90771058,0.656426796,0.048294109,0.38210382,2.725611734,5.886492262,0.185921956,0.055963131,0
Curryetal2021a,NelsonMountainTuff,77.32539535,12.30621062,0.7117229,0.085711316,0.569522373,3.117710551,5.669500045,0.09229658,0.121930264,0
Curryetal2021a,NelsonMountainTuff,77.07673269,12.41649165,0.724654798,0.102084307,0.579025475,3.00912494,5.874469167,0.061928407,0.139672693,0.015713178
Curryetal2021a,NelsonMountainTuff,76.94047038,12.51305788,0.765619069,0.045632247,0.61613765,3.048970768,5.893312625,0.012584678,0.132599534,0.031512852
Curryetal2021a,NelsonMountainTuff,78.12660834,11.7858981,0.754194545,0.016778178,0.494390118,3.242408646,5.39372105,0.083993824,0.102007205,0
Curryetal2021a,NelsonMountainTuff,78.04840318,11.89488186,0.671465036,0.052993894,0.456562776,3.031208909,5.623415148,0.107033032,0.11403617,0
Curryetal2021a,NelsonMountainTuff,77.64393662,12.4535959,0.64859897,0.014663438,0.475838888,2.984319415,5.638195158,0.093866656,0.044196841,0.002788118
Curryetal2021a,NelsonMountainTuff,76.90799771,12.74712464,0.744913337,0.031530723,0.604165997,2.945633358,5.922382561,0.030493528,0.065654434,0
Curryetal2021a,NelsonMountainTuff,77.07832162,12.0229882,0.664698026,0.102087777,0.554410428,3.218429919,6.026868765,0.125559766,0.16348394,0.04315156
Curryetal2021a,NelsonMountainTuff,77.36181964,11.95179272,0.691533408,0.048157784,0.615739036,3.052399175,6.022301076,0.119414806,0.118486711,0.018355644
Curryetal2021a,NelsonMountainTuff,77.0844258,12.17393093,0.711105627,0.064879649,0.607565522,3.310815674,5.799068448,0.046166343,0.175514359,0.026527654
Curryetal2021a,NelsonMountainTuff,77.39778333,11.97085715,0.787083858,0.056655177,0.604115498,3.261026604,5.737755671,0.055829601,0.128789911,0
Curryetal2021a,NelsonMountainTuff,77.7848457,11.50766938,0.676049843,0.058464725,0.668741753,2.820305375,6.186144272,0.111885837,0.102724991,0.083065198
Curryetal2021a,NelsonMountainTuff,77.65940288,11.69388692,0.716832166,0.061002593,0.55615754,3.236239263,5.831434326,0.131000484,0.113940437,0
Curryetal2021a,NelsonMountainTuff,77.71053137,11.92689515,0.701994763,0.05437261,0.576432208,3.053945471,5.860273741,0.033325148,0.082229545,0
Curryetal2021a,NelsonMountainTuff,77.77294638,11.76406188,0.810367247,0.098946192,0.644079806,3.284435186,5.432744993,0.066824829,0.125490212,0
Curryetal2021a,NelsonMountainTuff,77.69148818,11.75398689,0.76190104,0.058718517,0.56785228,3.424389883,5.398812878,0.101806186,0.131422531,0.109518776
Curryetal2021a,NelsonMountainTuff,77.75652629,11.8244889,0.657371846,0.050046406,0.594403622,3.34326399,5.619965234,0.040201211,0.113732508,0
Curryetal2021a,NelsonMountainTuff,77.97325419,11.64166038,0.669628305,0.056914784,0.592741606,3.549412898,5.318945276,0.068401222,0.074610108,0.054327748
Curryetal2021a,NelsonMountainTuff,77.6495627,11.96127498,0.70198447,0.012678328,0.611677364,3.179974061,5.642895148,0.044581989,0.096854112,0.098412923
Curryetal2021a,NelsonMountainTuff,77.94068169,11.76541011,0.769705514,0.027246213,0.633474449,3.065198949,5.624691674,0.082254665,0.091336736,0
Curryetal2021a,NelsonMountainTuff,77.48487751,11.95065851,0.648998518,0.101908013,0.569293356,3.294616474,5.688840868,0.064152936,0.141607118,0.05494438
Curryetal2021a,NelsonMountainTuff,77.12199574,12.41253423,0.525403103,0.140756516,0.343575702,3.214684109,6.044011764,0.014501572,0.086198154,0.096339114
Curryetal2021a,NelsonMountainTuff,77.26467877,12.76458984,0.130273605,0.077416277,0.422050096,3.668682589,5.54850342,0.002526641,0.121177698,0
Curryetal2021a,NelsonMountainTuff,77.35641882,12.95833552,0.256845513,0.009486632,0.502488727,3.835021416,4.904790547,0.032093074,0.144418833,0
Curryetal2021a,NelsonMountainTuff,77.06581741,12.48920764,0.47126214,0.084208305,0.384415985,3.459642409,5.78297998,0.069903039,0.133211451,0.059250181
Curryetal2021a,NelsonMountainTuff,77.42024429,12.35637387,0.718130638,0.016667215,0.541787384,2.849888062,5.895255811,0.11646474,0.085085106,0
Curryetal2021a,NelsonMountainTuff,77.38776112,12.5549021,0.61381797,0.058063862,0.457956951,2.949275533,5.724461885,0.119711913,0.133946264,0
Curryetal2021a,NelsonMountainTuff,77.35793527,12.30369274,0.681812608,0.024832204,0.487753534,2.983952061,5.957685107,0.081547731,0.118029611,0.002656944
Curryetal2021a,NelsonMountainTuff,77.59374243,12.42443767,0.685652493,0.031291936,0.474201081,2.995818166,5.601769585,0.118191182,0.072330541,0.002564913
Curryetal2021a,NelsonMountainTuff,77.25974105,12.16744676,0.683038518,0.039207343,0.427937511,3.454703868,5.653151784,0.134946204,0.030291978,0.149433672
Curryetal2021a,NelsonMountainTuff,77.24185682,12.44259808,0.631293847,0.053761799,0.46288094,3.19719787,5.773284052,0.158841678,0.038183096,0
Curryetal2021a,NelsonMountainTuff,77.79458651,12.05755091,0.749682803,0.062016071,0.456580617,3.283801809,5.357781899,0.106850641,0.131148741,0
Curryetal2021a,NelsonMountainTuff,77.5584835,12.32954784,0.622923546,0.041541879,0.457267629,3.448180599,5.392258681,0.05023907,0.09167863,0.007776312
Curryetal2021a,NelsonMountainTuff,77.38481788,12.30072871,0.661818189,0.018774256,0.474485991,3.344485037,5.632276948,0.05704091,0.108336693,0.017132791
Curryetal2021a,NelsonMountainTuff,77.69179458,12.01081997,0.736506754,0.056064134,0.429995539,3.048743058,5.790565675,0.044912691,0.13678421,0.053711077
Curryetal2021a,NelsonMountainTuff,77.27097718,12.28984317,0.690264124,0.016735542,0.450627583,3.182833235,5.821504659,0.085936497,0.117354142,0.073821197
Curryetal2021a,NelsonMountainTuff,77.80051088,11.88020976,0.710762507,0.004202663,0.458602748,3.423632495,5.555715006,0.067652618,0.098608816,0
Curryetal2021a,NelsonMountainTuff,77.66661883,12.18762172,0.677545665,0.062424404,0.448553681,3.351852231,5.473666947,0.065602001,0.066012013,0
Curryetal2021a,NelsonMountainTuff,77.39306289,12.45839549,0.68271191,0.064179613,0.493336136,3.101844577,5.571076116,0.156928847,0.069281331,0.009183092
Curryetal2021a,NelsonMountainTuff,77.82033158,12.11155378,0.575658656,0.035573834,0.435008354,3.577946279,5.274386326,0.104870839,0.050070685,0.014496851
Curryetal2021a,NelsonMountainTuff,77.50706743,12.42794627,0.58395877,0.018873976,0.415227483,2.990958024,5.713761192,0.107365079,0.11437836,0.120360276
Curryetal2021a,NelsonMountainTuff,77.3752566,12.42206596,0.65344599,0.064994392,0.441055443,3.625677626,5.201611366,0.088066886,0.082710771,0.045011964
Curryetal2021a,NelsonMountainTuff,77.74647308,12.34936042,0.640500967,0,0.441224859,3.465224366,5.182412701,0.096964587,0.077736191,0
Curryetal2021a,NelsonMountainTuff,77.46358148,12.4131749,0.656803597,0.018898594,0.418763929,3.36663479,5.411400706,0.088399981,0.16223875,0
Curryetal2021a,NelsonMountainTuff,77.29368097,12.66771853,0.715262644,0.037694187,0.459127555,3.378058276,5.231870744,0.090939801,0.1255443,0
Curryetal2021a,NelsonMountainTuff,77.75170405,11.4121441,0.702437145,0.046497756,0.472537328,3.697037606,5.675004505,0.070833998,0.142600022,0.029099932
Curryetal2021a,NelsonMountainTuff,77.49262518,12.48130518,0.661509174,0.11667307,0.476026126,2.572234197,5.980173175,0.152488989,0.066964916,0
Curryetal2021a,NelsonMountainTuff,77.68361582,12.4277433,0.529098907,0.063058533,0.447746245,2.790110133,5.835724856,0.133782204,0.068884038,0.020133762
Curryetal2021a,NelsonMountainTuff,77.47047878,12.29901454,0.612390566,0.074961521,0.412595584,2.887861866,6.052221145,0.106912333,0.071684514,0.011776742
Curryetal2021a,NelsonMountainTuff,77.79106056,11.66865908,0.660611487,0.060334012,0.61640738,3.164728186,5.788389939,0.087081069,0.162626194,0
Curryetal2021a,NelsonMountainTuff,77.80986656,11.60141813,0.684854586,0.029364158,0.567397954,2.946718993,6.120108678,0.105401872,0.134766029,0
Curryetal2021a,NelsonMountainTuff,77.47517492,11.73306859,0.722137552,0.06881896,0.617627089,3.353770479,5.856278115,0.055485927,0.092510733,0.025025076
Curryetal2021a,NelsonMountainTuff,77.93176028,11.35818335,0.747704164,0.081659469,0.490574664,3.181938944,5.86959611,0.192255016,0.092265932,0.054062069
Curryetal2021a,NelsonMountainTuff,77.79436171,11.58354126,0.667368762,0.035482976,0.618373374,2.857204746,6.24046524,0.085509846,0.101704111,0.015884821
Curryetal2021a,NelsonMountainTuff,77.58753189,11.68116566,0.558954023,0.041601344,0.57258205,3.166210691,6.137735288,0.098880043,0.135767934,0.019468609
Curryetal2021a,NelsonMountainTuff,77.70133384,11.80765594,0.610335075,0.05402463,0.516405889,3.151436769,5.87313216,0.115416256,0.166268985,0.003888136
Curryetal2021a,NelsonMountainTuff,78.09873037,11.42431724,0.66694979,0.091929249,0.508078771,3.167137453,5.809846301,0.132752417,0.062108799,0.03814961
Curryetal2021a,NelsonMountainTuff,77.12613882,12.50107278,0.662070877,0.050252451,0.435521245,3.039963107,6.038566171,0.049528651,0.096885899,0
Curryetal2021a,NelsonMountainTuff,77.8423939,12.17234423,0.350624123,0.024647734,0.315066736,3.384012712,5.737669314,0.041113229,0.103641703,0.028486316
Curryetal2021a,NelsonMountainTuff,77.71402834,12.30403873,0.232057037,0.026921482,0.311183675,3.132309362,6.121310452,0.022929323,0.135119227,0
Curryetal2021a,NelsonMountainTuff,77.48012037,12.3669788,0.701776138,0.055583108,0.410936738,3.267740363,5.432224333,0.144263907,0.140376242,0
Curryetal2021a,NelsonMountainTuff,77.18250712,12.63407265,0.677779601,0.012939142,0.431304728,3.250564904,5.522804449,0.167156881,0.116662669,0.004102655
Curryetal2021a,NelsonMountainTuff,77.59903062,12.34888928,0.654396384,0.053480271,0.373203858,3.305670277,5.411192747,0.102960049,0.151176513,0
Curryetal2021a,NelsonMountainTuff,77.85244681,12.13906833,0.675665124,0.065588448,0.459327354,3.112848569,5.517758333,0.073084271,0.084223896,0.019884752
Curryetal2021a,NelsonMountainTuff,77.32411876,12.3588827,0.670372587,0.044684529,0.454798511,3.25454066,5.577717594,0.188156402,0.101089591,0.025534017
Curryetal2021a,NelsonMountainTuff,77.44038274,12.33767526,0.744030943,0.108713981,0.391810213,3.403857775,5.268124495,0.124424093,0.127042446,0.05383332
Curryetal2021a,NelsonMountainTuff,77.95750908,12.07306557,0.714871822,0.057281731,0.426268064,2.989520997,5.498209946,0.135469203,0.147699062,0
Curryetal2021a,NelsonMountainTuff,77.69161834,12.38960712,0.704758096,0.068772371,0.410306545,3.16352906,5.332503833,0.107390702,0.13140813,0
Curryetal2021a,NelsonMountainTuff,77.91165249,12.30405193,0.728261178,0.044761111,0.424915337,2.984074081,5.327202672,0.185769119,0.089207003,0
Curryetal2021a,NelsonMountainTuff,77.23352493,12.33722159,0.710334416,0.077002727,0.424144446,3.535411288,5.423761531,0.160719587,0.097774579,0
Curryetal2021a,NelsonMountainTuff,77.30886519,12.2624986,0.670017099,0.059388352,0.428303386,3.796278191,5.345991754,0.060844459,0.067708962,0
Curryetal2021a,NelsonMountainTuff,77.26994843,12.52997947,0.656596005,0.034068168,0.422821492,3.39636641,5.381934466,0.132197031,0.139721289,0.036262743
Curryetal2021a,NelsonMountainTuff,77.43536077,12.31124742,0.735563325,0.073950458,0.408750009,3.516017586,5.22735358,0.122282736,0.141574159,0.027899963
Curryetal2021a,NelsonMountainTuff,77.50745305,12.38222397,0.621429573,0.006428218,0.433746671,3.361642083,5.511406926,0.020549223,0.113073416,0.041941491
