DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,CaO_wt,Na2O_wt,K2O_wt,MnO_wt,TiO2_wt,P2O5_wt
Curryetal2021a,SnowshoeMountainTuff,76.79794353,13.22430673,0.501430226,0.06436792,0.718053035,2.455058504,6.03449254,0.072001296,0.059107081,0.07323914
Curryetal2021a,SnowshoeMountainTuff,76.80295608,13.36285025,0.420430862,0.023557296,0.659810019,2.602618255,5.925328516,0,0.143915531,0.058430323
Curryetal2021a,SnowshoeMountainTuff,76.63603605,13.35539634,0.629026568,0.066042015,0.701683284,2.383392271,6.047726643,0,0.180696833,0
Curryetal2021a,SnowshoeMountainTuff,76.58701781,13.44947764,0.331459243,0.027946967,0.671035435,2.486458051,6.277792847,0.087848001,0.080964006,0
Curryetal2021a,SnowshoeMountainTuff,77.35624773,13.16637789,0.185860499,0.066889632,0.68521578,2.216222751,6.104686304,0.084720152,0.133678527,0
Curryetal2021a,SnowshoeMountainTuff,76.96113858,13.21181611,0.268137247,0.054304978,0.706991278,2.504804297,6.149089237,0.062722763,0.058924495,0.021968366
Curryetal2021a,SnowshoeMountainTuff,77.12986484,13.42094113,0.196347152,0.058894009,0.662025427,2.361842359,5.990767528,0.066597873,0.112719687,0
Curryetal2021a,SnowshoeMountainTuff,77.529317,12.98043245,0.26071895,0.065003099,0.675063237,2.281164646,6.025908378,0.034520279,0.090439094,0.057331926
Curryetal2021a,SnowshoeMountainTuff,77.19510179,13.02909662,0.391995217,0.066114758,0.70675452,2.387477375,6.08092528,0.094886921,0.04754549,0
Curryetal2021a,SnowshoeMountainTuff,76.92386874,13.76250669,0.259500968,0.075966566,0.615349776,2.089595257,6.062914316,0.085333718,0.044365298,0.080495738
Curryetal2021a,SnowshoeMountainTuff,77.49942172,12.99367413,0.643548922,0.029768789,0.653706516,2.795852484,5.300051291,0.055112488,0.028763087,0
Curryetal2021a,SnowshoeMountainTuff,77.48864774,13.06647519,0.488071279,0.011124708,0.661414456,2.639589802,5.572467359,0.02508116,0.047027175,0
Curryetal2021a,SnowshoeMountainTuff,77.68717327,12.93429359,0.315979399,0.05454588,0.645595268,2.493235191,5.708999765,0.043555292,0.094844702,0.021777646
Curryetal2021a,SnowshoeMountainTuff,77.25780671,13.16034953,0.16740368,0.058692134,0.577038468,2.682492701,5.929720708,0,0.166395224,0
Curryetal2021a,SnowshoeMountainTuff,77.30938298,13.20138014,0.347760917,0.052926727,0.62926242,2.535230615,5.747196096,0,0.105045412,0.0718147
Curryetal2021a,SnowshoeMountainTuff,76.95383686,13.35982914,0.478430439,0.027370861,0.652525394,2.726911051,5.626797803,0,0.058404737,0.11589372
Curryetal2021a,SnowshoeMountainTuff,77.08786427,13.24883971,0.582541291,0.086932771,0.670493203,2.659959357,5.462598526,0.04739008,0.153380798,0
Curryetal2021a,SnowshoeMountainTuff,76.97323656,13.4870233,0.407749571,0.054980883,0.630913229,2.430094288,5.923354826,0.016301883,0.076244208,0
Curryetal2021a,SnowshoeMountainTuff,77.13465194,13.24677426,0.449985843,0.068155159,0.681854953,2.457226065,5.753751567,0.149658213,0.050560207,0.00728067
Curryetal2021a,SnowshoeMountainTuff,77.21104118,13.22189073,0.509772898,0.101514517,0.627589745,2.730390446,5.350765159,0.057708252,0.125217906,0.064009153
Curryetal2021a,SnowshoeMountainTuff,77.1411054,13.00594012,0.469279246,0.049551225,0.638637894,2.653453007,5.87981064,0,0.154885268,0.00723669
Curryetal2021a,SnowshoeMountainTuff,77.5656021,12.89198713,0.509777865,0.040090315,0.608986132,2.676079411,5.474261305,0.091576862,0.076517556,0.065019572
Curryetal2021a,SnowshoeMountainTuff,77.53787546,13.03778362,0.463410349,0.055804908,0.623138173,2.575611159,5.570507855,0,0.13596831,0
Curryetal2021a,SnowshoeMountainTuff,76.36661343,13.79286137,0.545933016,0.085379464,0.643081837,2.715211482,5.678198917,0.00237452,0.170242728,0
Curryetal2021a,SnowshoeMountainTuff,76.50743956,14.05834631,0.407045442,0.025551149,0.604154304,2.16924038,6.15313377,0.00782178,0.06726731,0
Curryetal2021a,SnowshoeMountainTuff,76.72848781,13.59574959,0.413671132,0.052705533,0.596846159,2.340167104,6.109285804,0,0.118872205,0.044214662
Curryetal2021a,SnowshoeMountainTuff,76.56501099,13.6074527,0.435315342,0.085790577,0.578778531,2.216598629,6.331672937,0.102004585,0.077273091,0
Curryetal2021a,SnowshoeMountainTuff,76.29053359,13.83582946,0.482214737,0.05689109,0.645776621,2.457611432,5.950557041,0.018824258,0.172555696,0.089206066
Curryetal2021a,SnowshoeMountainTuff,76.58754471,13.54132303,0.559875583,0.041367537,0.699477931,2.733399312,5.613417744,0.092265318,0.116352745,0.014976096
Curryetal2021a,SnowshoeMountainTuff,76.57889764,13.67185281,0.491835611,0.042337309,0.664592483,2.942959254,5.369609867,0.06391901,0.17389275,0
Curryetal2021a,SnowshoeMountainTuff,76.43760818,13.77612028,0.555957388,0.068671556,0.671664256,2.81166643,5.539714527,0,0.138597386,0
Curryetal2021a,SnowshoeMountainTuff,76.66304106,13.46212477,0.61408713,0.039243072,0.654051203,2.85310525,5.335409817,0,0.225055414,0.153882283
Curryetal2021a,SnowshoeMountainTuff,76.55154408,13.55114625,0.592189235,0.061436007,0.687399506,3.035539642,5.38730585,0,0.089097751,0.044238069
Curryetal2021a,SnowshoeMountainTuff,76.60760526,13.45991172,0.477516253,0.054667949,0.702400316,2.733397458,5.808469598,0.044624784,0.111406654,0
Curryetal2021a,SnowshoeMountainTuff,76.6149032,13.70970832,0.585561938,0.020191791,0.662187196,2.816495968,5.498379997,0.025679816,0.066788232,0
Curryetal2021a,SnowshoeMountainTuff,76.30088466,13.89851888,0.619533528,0.081240028,0.671117813,2.631425063,5.628325829,0.105361424,0.063592772,0
Curryetal2021a,SnowshoeMountainTuff,76.67425925,13.64986471,0.657732528,0.052983718,0.614401289,2.822301004,5.455749153,0.020039386,0.052564045,0
Curryetal2021a,SnowshoeMountainTuff,76.21034964,13.81518784,0.681274338,0.023403341,0.605290805,3.051713135,5.443596403,0.087839851,0.081344651,0
Curryetal2021a,SnowshoeMountainTuff,76.2078619,13.91450265,0.539135058,0.090340428,0.677449368,2.575221386,5.75271229,0.134783764,0.107889315,0
Curryetal2021a,SnowshoeMountainTuff,77.58243383,12.98036857,0.543696577,0.017686876,0.608448531,2.318279836,5.875640275,0.019785319,0.05376011,0
Curryetal2021a,SnowshoeMountainTuff,77.54461805,12.99276806,0.57779131,0.057678646,0.571963154,2.522184674,5.657330564,0,0.075565055,0
Curryetal2021a,SnowshoeMountainTuff,77.60946836,12.89157277,0.464156627,0.069108431,0.617875381,2.290279414,5.880717448,0.02590316,0.143517509,0.007300891
Curryetal2021a,SnowshoeMountainTuff,77.24939045,13.23170853,0.371478978,0.078498226,0.632545047,2.329177156,5.79816441,0.085832656,0.195254425,0.02804924
Curryetal2021a,SnowshoeMountainTuff,77.18408369,13.25533359,0.417176455,0.054982886,0.621455214,2.347917833,5.864841169,0.066871078,0.103030994,0.08440616
Curryetal2021a,SnowshoeMountainTuff,77.68983436,12.82337032,0.528726648,0.046875765,0.603188152,2.418749507,5.797002949,0.049174577,0.043077729,0
Curryetal2021a,SnowshoeMountainTuff,77.02794613,13.21865042,0.558962963,0.05477453,0.65638482,2.708408497,5.578513023,0.069731413,0.119452942,0.007074201
Curryetal2021a,SnowshoeMountainTuff,77.21145264,12.93764359,0.590381064,0.045483903,0.659920898,2.547098582,5.801724547,0,0.177589373,0.028705397
Curryetal2021a,SnowshoeMountainTuff,77.47585897,12.88256713,0.443721729,0.059751051,0.634704533,2.436158609,5.945029033,0.032381861,0.082709089,0.007017741
Curryetal2021a,SnowshoeMountainTuff,77.31023556,13.06496999,0.417839132,0,0.648450347,2.35909175,6.017683192,0.002998845,0.143344812,0.035486338
Curryetal2021a,SnowshoeMountainTuff,77.46154109,13.33148062,0.458546546,0.04601576,0.653886972,2.084302484,5.870281874,0,0.072296096,0.021547861
Curryetal2021a,SnowshoeMountainTuff,77.17759796,13.4018543,0.440593586,0.034775677,0.629012676,2.369220069,5.724767806,0.094565436,0.0984294,0.029081414
Curryetal2021a,SnowshoeMountainTuff,77.76202772,12.93022098,0.574029531,0.045075072,0.595412582,2.499708869,5.551562268,0.020379153,0.021583832,0
Curryetal2021a,SnowshoeMountainTuff,77.14568034,13.07417327,0.526190148,0.076450674,0.633261382,2.578573465,5.872298164,0.02497993,0.046938095,0.021454537
Curryetal2021a,SnowshoeMountainTuff,76.85494902,13.47659954,0.436980758,0.059212305,0.628134621,2.491556951,5.931317761,0.016240513,0.104907661,0
Curryetal2021a,SnowshoeMountainTuff,76.89406469,13.26107476,0.430808452,0.075028438,0.642582269,2.480779005,5.919582422,0.051430784,0.101248054,0.143300283
Curryetal2021a,SnowshoeMountainTuff,76.73767593,13.38554443,0.385063607,0.043294189,0.663776313,2.516156372,6.132494479,0.059287571,0.076605247,0
Curryetal2021a,SnowshoeMountainTuff,76.89330567,13.39233606,0.522383017,0.061330346,0.558218778,2.283249955,6.204706157,0,0.08447001,0
Curryetal2021a,SnowshoeMountainTuff,76.38417986,13.43833925,0.512903485,0.079558266,0.633065322,2.730950845,5.997786384,0.068016134,0.155097397,0
Curryetal2021a,SnowshoeMountainTuff,76.51357414,13.60562476,0.498184712,0.050582368,0.605439979,2.508472547,6.090530052,0.086815861,0.040672353,0
Curryetal2021a,SnowshoeMountainTuff,76.53663306,13.52749996,0.470908212,0.048020581,0.674229397,2.70754342,5.96681267,0.039131665,0.029221035,0
Curryetal2021a,SnowshoeMountainTuff,76.5354146,13.63029897,0.464870348,0.094949177,0.622364595,2.304292053,6.192784891,0,0.154922492,0
Curryetal2021a,SnowshoeMountainTuff,77.05190581,13.40432017,0.494991473,0.107846165,0.578679282,2.232354461,5.963138629,0.042404541,0.124257538,0
Curryetal2021a,SnowshoeMountainTuff,76.85834847,13.44099781,0.393095442,0.066539593,0.708697851,2.313530468,6.049984542,0,0.168703461,0
Curryetal2021a,SnowshoeMountainTuff,76.87841951,13.62887044,0.375233745,0.06219401,0.61552408,2.297349459,5.991735751,0.124594989,0.025974537,0
Curryetal2021a,SnowshoeMountainTuff,77.05708649,13.48807901,0.180390186,0.080413662,0.574942238,2.193099869,6.332189764,0.034801303,0.029550219,0.029344294
Curryetal2021a,SnowshoeMountainTuff,76.86648493,13.26898284,0.215620971,0.035818113,0.560573822,2.279334475,6.441155012,0.161385021,0.091173379,0.079369683
Curryetal2021a,SnowshoeMountainTuff,77.16777037,13.24841323,0.548079578,0.070977203,0.629224863,2.47223964,5.78185077,0,0.003588735,0.077955298
Curryetal2021a,SnowshoeMountainTuff,77.24200432,13.16477629,0.58008855,0.056691379,0.665724472,2.335525134,5.719042315,0,0.236147541,0
Curryetal2021a,SnowshoeMountainTuff,77.52836521,13.03493301,0.502892189,0.037010262,0.709600604,2.32839287,5.77522773,0,0.061819339,0.021657104
Curryetal2021a,SnowshoeMountainTuff,76.74731851,13.47975651,0.62079963,0.046488919,0.667897574,2.720312308,5.582730483,0,0.134594557,0
Curryetal2021a,SnowshoeMountainTuff,77.22441656,13.08167644,0.501093008,0.052853213,0.623303407,2.693286326,5.619450792,0.047891896,0.155927103,0
Curryetal2021a,SnowshoeMountainTuff,76.56679092,13.50284198,0.612696524,0.056059096,0.719239218,2.595140802,5.798517729,0,0.141414899,0.007197461
Curryetal2021a,SnowshoeMountainTuff,77.31287335,13.18789147,0.597763228,0.058894427,0.611853289,2.676097884,5.301512097,0.075214569,0.177798322,0
Curryetal2021a,SnowshoeMountainTuff,76.72295413,13.61909467,0.53377402,0.053613631,0.674689539,2.721764772,5.474341975,0.027012232,0.114211412,0.058440912
Curryetal2021a,SnowshoeMountainTuff,76.59117526,13.6993179,0.60770871,0.082790193,0.623180639,2.899706033,5.399805935,0.059531067,0.036681794,0
Curryetal2021a,SnowshoeMountainTuff,76.72962431,13.42640115,0.691028536,0.072675015,0.661260521,2.638062,5.707246972,0,0.066208171,0.00739068
Curryetal2021a,SnowshoeMountainTuff,76.48755064,13.40482574,0.684831573,0.090074755,0.665175215,2.725546578,5.704396742,0.052788467,0.156035009,0.028775287
Curryetal2021a,SnowshoeMountainTuff,76.65618914,13.62889285,0.482635068,0.08714385,0.57231217,2.4319214,5.948074425,0.072957642,0.119873459,0
Curryetal2021a,SnowshoeMountainTuff,76.84266999,12.99688465,0.718983145,0.069549233,0.731908224,2.903013698,5.600867416,0,0.136021066,0
Curryetal2021a,SnowshoeMountainTuff,76.35956781,13.49563485,0.749201695,0.082790922,0.661102354,2.75629456,5.696342091,0.078401267,0.120562366,0
Curryetal2021a,SnowshoeMountainTuff,76.69254814,13.30579375,0.660376779,0.074205388,0.618514705,2.517865587,5.915960607,0.04984555,0.135719096,0.029068042
Curryetal2021a,SnowshoeMountainTuff,77.04789598,13.36834712,0.691728348,0.039628686,0.635883319,2.280423125,5.78720713,0,0.11989958,0.02888536
Curryetal2021a,SnowshoeMountainTuff,76.5838918,13.56897923,0.626055919,0.049527797,0.60722717,2.578720034,5.89421722,0.039908762,0.05136974,0
Curryetal2021a,SnowshoeMountainTuff,76.68863455,13.4990771,0.664036234,0.012346095,0.641996925,2.622269702,5.744505223,0,0.025610494,0.101421638
Curryetal2021a,SnowshoeMountainTuff,76.97820367,13.46273944,0.666891899,0.045763076,0.667608547,2.498029219,5.436284898,0.112513693,0.117325471,0.014537711
Curryetal2021a,SnowshoeMountainTuff,77.37356718,13.00962447,0.719001302,0.051670879,0.582165377,2.859258125,5.23856935,0.049424319,0.065865053,0.050853948
Curryetal2021a,SnowshoeMountainTuff,76.46666845,13.44072157,0.646557504,0.071690725,0.618500127,2.785107309,5.601160255,0.066945728,0.243851618,0.058693558
Curryetal2021a,SnowshoeMountainTuff,77.38090978,12.87296055,0.672379575,0.058383324,0.65131659,2.545962808,5.715635381,0,0.065949639,0.036400111
Curryetal2021a,SnowshoeMountainTuff,76.95790414,13.39823487,0.598003786,0.053572453,0.586633724,2.816907179,5.306028796,0.106837607,0.139308864,0.036466144
Curryetal2021a,SnowshoeMountainTuff,77.04119721,13.12006733,0.690396758,0.059176865,0.65691378,2.90320688,5.310744293,0.098628108,0.119567614,0
Curryetal2021a,SnowshoeMountainTuff,76.63338279,13.21996548,0.654635724,0.030499844,0.705839104,2.959090822,5.595004489,0.085641946,0.115838811,0
Curryetal2021a,SnowshoeMountainTuff,77.14723089,13.41734933,0.577947014,0.021030962,0.639826575,2.355872188,5.743070399,0,0.090493803,0.007077728
Curryetal2021a,SnowshoeMountainTuff,76.96234818,13.19700464,0.440303733,0.083540672,0.622922834,2.401289836,6.094029667,0.057509883,0.133786148,0.007163512
Curryetal2021a,SnowshoeMountainTuff,77.73585357,12.7865513,0.407614924,0.108730534,0.573152428,2.232414256,5.800290612,0.102451869,0.146601847,0.106438323
Curryetal2021a,SnowshoeMountainTuff,77.81808651,12.73940998,0.234266981,0.001523853,0.673949329,2.072439902,6.217319705,0,0.105755389,0.137146758
Curryetal2021a,SnowshoeMountainTuff,76.84225958,13.45859395,0.447330271,0.043368843,0.689218465,2.463676049,5.935219573,0,0.083988956,0.036242507
Curryetal2021a,SnowshoeMountainTuff,76.86393513,13.65359633,0.514023742,0.041909097,0.622212433,2.335081075,5.86319484,0,0.10604735,0
Curryetal2021a,SnowshoeMountainTuff,76.88451632,13.20465586,0.494970819,0.018034136,0.704452088,2.567571974,5.940057383,0,0.105963288,0.079778129
Curryetal2021a,SnowshoeMountainTuff,76.51711819,13.53952198,0.465796177,0.031534574,0.671381255,2.614317917,6.083121068,0.022175926,0.04750531,0.007425884
Curryetal2021a,SnowshoeMountainTuff,77.34378752,13.19033417,0.427281003,0.027177606,0.587792351,2.319291911,6.00768125,0.052618297,0.043933723,0
Curryetal2021a,SnowshoeMountainTuff,76.94496395,13.50764336,0.743629182,0.07847394,0.586985072,2.622548449,5.336227925,0.121508036,0.058020087,0
Curryetal2021a,SnowshoeMountainTuff,76.52044531,13.47896199,0.546414024,0.045066128,0.658210721,2.697836213,5.906626254,0,0.146439367,0
Curryetal2021a,SnowshoeMountainTuff,76.75025979,13.5225677,0.470026505,0.059046506,0.698971938,2.223167238,6.057620824,0.090252431,0.127985086,0
Curryetal2021a,SnowshoeMountainTuff,76.50267668,13.45202568,0.471685164,0.047178684,0.629184693,2.531787147,6.171866659,0.018708789,0.174886502,0
Curryetal2021a,SnowshoeMountainTuff,76.83054006,13.51958059,0.414607228,0.002330962,0.633514979,2.432308352,6.019963171,0.038106164,0.109048491,0
Curryetal2021a,SnowshoeMountainTuff,76.81449193,13.39397403,0.475145381,0.029493185,0.601762675,2.64421659,5.847786689,0,0.164043129,0.028984682
Curryetal2021a,SnowshoeMountainTuff,76.70206399,13.31443499,0.540462942,0.038720035,0.638223448,2.648733461,5.924266442,0.087954126,0.105039468,0
Curryetal2021a,SnowshoeMountainTuff,76.76492132,13.51822384,0.366547953,0.00990124,0.63428557,2.535929883,6.061983784,0.042838019,0.065267359,0
Curryetal2021a,SnowshoeMountainTuff,76.81371073,13.58706706,0.462529798,0.067630237,0.555890034,2.400110649,6.040956464,0.043120632,0,0.028882687
Curryetal2021a,SnowshoeMountainTuff,76.52763651,13.68063244,0.349127284,0.031617916,0.649446328,2.302275467,6.26218927,0.021078611,0.139466732,0.036427114
Curryetal2021a,SnowshoeMountainTuff,77.07181817,13.32668519,0.329873462,0.018140507,0.616675889,2.411978004,6.10088554,0.051279868,0.072562027,0
Curryetal2021a,SnowshoeMountainTuff,76.95827698,13.48396872,0.343810696,0,0.679994712,2.226990309,6.131850029,0.058369518,0.116637346,0
Curryetal2021a,SnowshoeMountainTuff,76.9675955,13.09465696,0.522377168,0.034422542,0.702139331,2.586723165,5.867936208,0.108702763,0.11534571,0
Curryetal2021a,SnowshoeMountainTuff,77.35387695,13.1516848,0.456698103,0.053400112,0.697456324,2.380119291,5.757040678,0,0.149622029,0
Curryetal2021a,SnowshoeMountainTuff,77.0346974,13.36211538,0.384660743,0.036199745,0.668413415,2.461172441,5.947833399,0.049633644,0.055171282,0
Curryetal2021a,SnowshoeMountainTuff,77.02367197,13.37573785,0.376269795,0.04938734,0.634112864,2.191563202,6.214573587,0.031278649,0.103301852,0
Curryetal2021a,SnowshoeMountainTuff,76.71460732,13.36616322,0.679779504,0.096584612,0.723309155,2.642505833,5.571795245,0.007681703,0.102729975,0.094741004
Curryetal2021a,SnowshoeMountainTuff,76.95088255,13.38675783,0.389145188,0.046664747,0.626349142,2.481298362,6.085818206,0,0.032981867,0
Curryetal2021a,SnowshoeMountainTuff,77.05146998,13.16380655,0.515472301,0.035577856,0.67648751,2.470119684,5.956749526,0.042693427,0.087521525,0
Curryetal2021a,SnowshoeMountainTuff,76.43422733,13.41507024,0.712541507,0.067943806,0.652056194,2.646232439,5.895274585,0.070498084,0.106155811,0
Curryetal2021a,SnowshoeMountainTuff,77.56603753,13.04082172,0.570168639,0.024419876,0.579490749,2.705438539,5.471673451,0.01641502,0.025433149,0
Curryetal2021a,SnowshoeMountainTuff,76.95687499,13.39532835,0.407058951,0.075641809,0.602687833,2.732076103,5.55590103,0.103166456,0.127734752,0.04352972
Curryetal2021a,SnowshoeMountainTuff,76.70240133,13.4420656,0.526396932,0.03214407,0.725811084,2.670275401,5.63276962,0.112957688,0.148023946,0.007053558
Curryetal2021a,SnowshoeMountainTuff,77.16816229,13.20406121,0.442991214,0.054227366,0.63661718,2.449302957,5.946867261,0,0.097669735,0
Curryetal2021a,SnowshoeMountainTuff,77.29327694,13.08504272,0.565945699,0.070001458,0.613719682,2.544593242,5.632301248,0.047170523,0.147847908,0
Curryetal2021a,SnowshoeMountainTuff,77.6183106,13.24479335,0.522450277,0.025544248,0.622012505,2.45385693,5.470894139,0.006034074,0.036103879,0
Curryetal2021a,SnowshoeMountainTuff,77.3954483,13.19171034,0.601941926,0.046216897,0.647954775,2.662827842,5.284846061,0.099473454,0.069478382,0
Curryetal2021a,SnowshoeMountainTuff,76.4546539,13.662141,0.397248289,0.041950568,0.607308835,2.55395879,6.082319528,0.031180862,0.169135664,0
Curryetal2021a,SnowshoeMountainTuff,76.60543694,13.40595146,0.563582513,0.040453406,0.655447589,2.591066249,5.776131876,0.120643322,0.110094712,0.131191931
Curryetal2021a,SnowshoeMountainTuff,76.14966799,13.75478296,0.521443717,0.039764018,0.575476617,2.381644342,6.274111526,0,0.199029926,0.103973989
Curryetal2021a,SnowshoeMountainTuff,76.73147793,13.54024335,0.483947861,0.069194247,0.664450117,2.553597226,5.879451677,0,0.077534625,0
Curryetal2021a,SnowshoeMountainTuff,76.59989104,13.96630485,0.421818029,0.01445874,0.565252923,2.074514899,6.171157956,0.036565944,0.105192574,0.044738276
Curryetal2021a,SnowshoeMountainTuff,76.07306936,13.82957088,0.217977399,0.048288773,0.676668596,2.523948833,6.299442541,0.096160365,0.153418543,0.081350417
Curryetal2021a,SnowshoeMountainTuff,76.85217947,13.45397096,0.072700914,0.040329649,0.620861506,2.236951208,6.549535026,0,0.150456478,0.023014786
Curryetal2021a,SnowshoeMountainTuff,77.00850041,13.27558705,0.269549942,0.051588023,0.608455994,2.412825328,6.249116643,0.048357462,0.075918186,0
Curryetal2021a,SnowshoeMountainTuff,77.21162173,13.36084529,0.169873604,0.031644107,0.587877193,2.220110383,6.198226725,0.065598737,0.082877424,0.071324813
