DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
Sliwinskietal2017,MasonicParkTuff,36.56,13.24,14.75,14.69,0.125,5.24,9.45,0.4984,0.0024,NA,0.7309,0.1687,NA,95.1
Sliwinskietal2017,MasonicParkTuff,36.44,13.01,15.09,14.44,0.0911,5.14,8.7,0.497,0.0123,NA,0.8877,0.1723,NA,94.06
Sliwinskietal2017,MasonicParkTuff,36.49,12.98,15.18,14.54,0.1161,5.37,9.17,0.538,0.013,NA,1.192,0.1654,NA,95.22
Sliwinskietal2017,MasonicParkTuff,36.75,13.01,12.32,16.27,0.0854,5.32,9.14,0.4337,0.0104,NA,2.2056,0.1701,NA,94.75
Sliwinskietal2017,MasonicParkTuff,36.22,13.07,14.99,14.93,0.1306,5.06,9.34,0.5507,0.013,NA,0.3868,0.1412,NA,94.64
Sliwinskietal2017,MasonicParkTuff,36.89,13.45,13.5,15.38,0.1278,5.48,9.61,0.2292,0,NA,0.4309,0.1598,NA,95.05
Sliwinskietal2017,MasonicParkTuff,36.62,14,13.7,15.08,0.0889,5.72,10.15,0.1668,0.0016,NA,0.361,0.1953,NA,95.88
Sliwinskietal2017,MasonicParkTuff,38,13.6,13.47,14.22,0.1003,5.78,9.57,0.1304,0.0498,NA,0.2933,0.1621,NA,95.22
Sliwinskietal2017,MasonicParkTuff,40.26,14.34,12.88,13.3,0.0592,5.11,9,0.0982,0.162,NA,0.2159,0.156,NA,95.44
Sliwinskietal2017,MasonicParkTuff,36.68,12.95,14.39,12.74,0.0909,5.71,9.36,0.0719,0.2131,NA,0.1973,0.1714,NA,92.45
Sliwinskietal2017,MasonicParkTuff,36.83,13.67,13.57,15.09,0.0923,5.26,9.74,0.2711,0.003,NA,0.3449,0.1823,NA,94.85
Sliwinskietal2017,MasonicParkTuff,37.29,13.29,14.61,14.56,0.1048,4.84,9.65,0.2603,0.1347,NA,0.2824,0.1779,NA,95.04
Sliwinskietal2017,MasonicParkTuff,36.53,13.29,15.03,14.86,0.113,5.2,9.44,0.3855,0.0025,NA,0.3451,0.181,NA,95.2
Sliwinskietal2017,MasonicParkTuff,36.95,13.22,15.07,14.81,0.1351,5.24,9.51,0.444,0,NA,0.3517,0.1675,NA,95.71
Sliwinskietal2017,MasonicParkTuff,36.53,13.21,15.38,14.88,0.1177,5.2,9.21,0.3711,0,NA,0.3978,0.1297,NA,95.23
Sliwinskietal2017,MasonicParkTuff,36.94,13.18,15.51,14.64,0.1035,5.19,9.61,0.4636,0.0162,NA,0.402,0.2024,NA,96.05
Sliwinskietal2017,MasonicParkTuff,36.68,13.31,16.33,14.51,0.09,5.04,9.3,0.4315,0.0151,NA,0.6769,0.1856,NA,96.25
Sliwinskietal2017,MasonicParkTuff,36.41,13.16,16.33,13.9,0.0781,5.35,9.62,0.4037,0.086,NA,0.7809,0.1617,NA,95.92
Sliwinskietal2017,MasonicParkTuff,37.39,12.89,15.82,14.41,0.0024,5.2,9.22,0.3602,0.0525,NA,1.3924,0.1796,NA,96.3
Sliwinskietal2017,MasonicParkTuff,36.26,13.4,15.94,14.2,0.0702,5.06,9.7,0.3628,0.0114,NA,1.533,0.1523,NA,96.02
Sliwinskietal2017,MasonicParkTuff,36.49,13.31,14.61,15.04,0.0593,5.12,9.41,0.3937,0,NA,2.2255,0.1688,NA,95.86
Sliwinskietal2017,MasonicParkTuff,36.67,12.99,18.26,13.57,0.3223,4.46,9.24,0.4055,0.1058,NA,1.15,0.1646,NA,96.82
Sliwinskietal2017,MasonicParkTuff,37.91,13.75,17.76,14.06,0.1819,4.49,8.94,0.4524,0.2719,NA,2.04,0.2024,NA,99.15
Sliwinskietal2017,MasonicParkTuff,38.66,13.68,14.18,14.22,0.167,3.93,8.05,0.5864,0.4073,NA,0.8072,0.1915,NA,94.5
Sliwinskietal2017,MasonicParkTuff,37.44,13.24,13.1,15.05,0.1448,4.65,9.56,0.2278,0.0424,NA,2.8197,0.2204,NA,95.27
Sliwinskietal2017,MasonicParkTuff,36.64,12.87,17.26,13.41,0.1605,4.55,9.31,0.4286,0.0205,NA,2.5296,0.1418,NA,96.22
Sliwinskietal2017,MasonicParkTuff,35.26,12.3,14.41,13.4,0.1839,4.58,9.42,0.3867,0.0594,NA,2.202,0.2843,NA,91.49
Sliwinskietal2017,MasonicParkTuff,36.52,12.5,18.82,13.47,0.3341,4.24,8.81,0.4787,0.1007,NA,1.0575,0.1913,NA,96.04
Sliwinskietal2017,MasonicParkTuff,36.85,12.92,17.5,13.66,0.2985,4.52,9.36,0.4352,0.0209,NA,0.2574,0.1969,NA,95.87
Sliwinskietal2017,MasonicParkTuff,36.97,13.01,17.58,13.74,0.3127,4.45,9.22,0.4544,0.0415,NA,0.2303,0.1767,NA,96.06
Sliwinskietal2017,MasonicParkTuff,37.52,12.71,17.39,13.69,0.2622,4.25,9.12,0.4139,0.0783,NA,0.193,0.1505,NA,95.66
Sliwinskietal2017,MasonicParkTuff,36.65,12.75,17.29,13.41,0.2808,4.42,9.28,0.3716,0.029,NA,0.1735,0.1913,NA,94.73
Sliwinskietal2017,MasonicParkTuff,36.8,12.88,17.61,13.68,0.3536,4.4,9.32,0.4329,0.0072,NA,0.1532,0.1699,NA,95.69
Sliwinskietal2017,MasonicParkTuff,36.5,12.93,17.31,13.64,0.3259,4.38,9.06,0.4313,0.0207,NA,0.1568,0.1441,NA,94.8
Sliwinskietal2017,MasonicParkTuff,36.83,13.05,17.32,13.46,0.3317,4.49,9.37,0.4133,0.0131,NA,0.1765,0.1747,NA,95.52
Sliwinskietal2017,MasonicParkTuff,36.99,13.09,17.58,13.59,0.3018,4.42,9.29,0.3693,0.0342,NA,0.3601,0.172,NA,96
Sliwinskietal2017,MasonicParkTuff,38.11,12.88,17.6,13.53,0.2413,4.42,9.34,0.2823,0.0844,NA,1.0216,0.1891,NA,97.23
Sliwinskietal2017,MasonicParkTuff,34.64,12.11,16.92,11.87,0.2954,4.35,8.86,0.1567,0.356,NA,0.9093,0.151,NA,90.2
Sliwinskietal2017,MasonicParkTuff,37.24,13.41,16.77,13.41,0.2723,4.58,9.62,0.2321,0.0271,NA,1.0924,0.1807,NA,96.34
Sliwinskietal2017,MasonicParkTuff,37.44,13.38,18.22,13.39,0.2757,4.5,9.13,0.209,0.0376,NA,0.8746,0.1977,NA,97.24
Sliwinskietal2017,MasonicParkTuff,35.47,11.7,20.42,12.36,0.275,3.87,8.41,0.2989,0.179,NA,1.1908,0.1432,NA,93.79
Sliwinskietal2017,MasonicParkTuff,36.6,13.18,17.05,13.22,0.2259,4.47,9.22,0.237,0.0173,NA,1.5884,0.1656,NA,95.27
Sliwinskietal2017,MasonicParkTuff,36.7,13.12,17.95,13.19,0.2757,4.57,9.45,0.1955,0.0709,NA,1.5908,0.172,NA,96.58
Sliwinskietal2017,MasonicParkTuff,36.61,13.01,18.57,12.74,0.2532,4.35,9.14,0.3333,0.0761,NA,1.19,0.1612,NA,95.89
Sliwinskietal2017,MasonicParkTuff,36.91,11.94,17.74,12.58,0.2331,4.01,8.53,0.3433,0.2219,NA,0.7977,0.1575,NA,93.1
Sliwinskietal2017,MasonicParkTuff,36.15,12.77,18.36,13.21,0.3228,4.29,8.83,0.427,0.1076,NA,1.3212,0.1897,NA,95.38
Sliwinskietal2017,MasonicParkTuff,37.23,12.5,17,14.18,0.2583,4.27,8.97,0.3824,0.1339,NA,2.2357,0.2149,NA,96.38
Sliwinskietal2017,MasonicParkTuff,36.9,13,19.78,13.08,0.2731,4.42,9.04,0.4536,0.0333,NA,1.7409,0.1397,NA,98.1
Sliwinskietal2017,MasonicParkTuff,39.11,14.11,13.8,16.52,0.2172,4.52,9.39,0.2507,0.0746,NA,2.3973,0.1971,NA,99.53
Sliwinskietal2017,MasonicParkTuff,36.44,13.05,14.45,14.95,0.0972,5.15,9.09,0.5302,0.0027,NA,0.4479,0.1507,NA,94.14
Sliwinskietal2017,MasonicParkTuff,36.55,13.24,14.34,15.1,0.1238,5.19,9.41,0.5034,0.006,NA,0.4587,0.1489,NA,94.85
Sliwinskietal2017,MasonicParkTuff,36.66,13.29,14.38,15.22,0.1147,5.04,9.28,0.4739,0,NA,0.4921,0.183,NA,94.88
Sliwinskietal2017,MasonicParkTuff,37.11,13.32,14.2,15.16,0.079,5.34,9.65,0.4427,0,NA,0.5332,0.1256,NA,95.71
Sliwinskietal2017,MasonicParkTuff,36.84,13.26,14.35,15.14,0.1226,5.21,9.16,0.4994,0,NA,0.4982,0.1269,NA,94.97
Sliwinskietal2017,MasonicParkTuff,37.05,13.13,14.74,15.13,0.126,5.16,9.3,0.4801,0.0478,NA,0.5063,0.1578,NA,95.59
Sliwinskietal2017,MasonicParkTuff,37,13.29,14.61,15.17,0.1097,5.05,9.26,0.4774,0.0019,NA,0.5122,0.1692,NA,95.41
Sliwinskietal2017,MasonicParkTuff,36.72,13.4,14.4,15.03,0.115,5.18,9.86,0.4443,0,NA,0.4983,0.175,NA,95.56
Sliwinskietal2017,MasonicParkTuff,37.08,13.4,14.29,14.77,0.0709,5.45,9.14,0.4505,0.0341,NA,0.5136,0.163,NA,95.1
Sliwinskietal2017,MasonicParkTuff,36.78,13.56,14.48,14.98,0.126,5.25,9.71,0.409,0.0043,NA,0.5391,0.1483,NA,95.73
Sliwinskietal2017,MasonicParkTuff,36.66,13.56,14.01,15.13,0.0978,5.3,9.31,0.4286,0.0043,NA,0.5279,0.1377,NA,94.92
Sliwinskietal2017,MasonicParkTuff,36.99,13.38,14.42,14.91,0.1103,5.27,9.32,0.4317,0.0336,NA,0.516,0.1698,NA,95.29
Sliwinskietal2017,MasonicParkTuff,36.99,13.84,14.26,15.43,0.0853,5.39,9.34,0.4404,0,NA,0.555,0.2074,NA,96.27
Sliwinskietal2017,MasonicParkTuff,36.74,13.44,14.74,14.99,0.126,5.21,9.45,0.4148,0.0124,NA,0.537,0.1497,NA,95.54
Sliwinskietal2017,MasonicParkTuff,36.51,13.01,14.46,14.92,0.1119,5.12,9.07,0.4493,0.005,NA,0.5562,0.1779,NA,94.12
Sliwinskietal2017,MasonicParkTuff,36.77,11.96,17.07,13.48,0.0952,5.02,8.06,0.3657,0.3828,NA,0.4326,0.1756,NA,93.59
Sliwinskietal2017,MasonicParkTuff,36.88,13.07,14.82,14.6,0.1244,4.88,8.68,0.3653,0.0811,NA,0.5226,0.1231,NA,93.9
Sliwinskietal2017,MasonicParkTuff,37.2,13.02,14.61,14.31,0.1106,5.09,8.94,0.3673,0.0841,NA,0.6251,0.1232,NA,94.2
Sliwinskietal2017,MasonicParkTuff,37.1,13.15,14.65,14.45,0.0774,5.12,8.89,0.3831,0.0655,NA,0.8008,0.1699,NA,94.48
Sliwinskietal2017,MasonicParkTuff,36.58,13.28,14.66,14.71,0.1043,5.26,9.61,0.395,0.0132,NA,1.1251,0.1684,NA,95.4
Sliwinskietal2017,MasonicParkTuff,36.79,13.28,14.98,14.53,0.0719,5.19,8.92,0.377,0.0475,NA,1.1708,0.1785,NA,95.01
Sliwinskietal2017,MasonicParkTuff,36.24,13.03,14.58,14.94,0.1215,5.54,9.17,0.4418,0.0398,NA,1.6643,0.1724,NA,95.21
Sliwinskietal2017,MasonicParkTuff,36.72,12.87,14.83,14.83,0.1686,5.08,9.23,0.5673,0,NA,0.2591,0.1727,NA,94.58
Sliwinskietal2017,MasonicParkTuff,36.89,12.76,15.22,14.96,0.1638,5.15,9.2,0.5611,0,NA,0.2966,0.182,NA,95.22
Sliwinskietal2017,MasonicParkTuff,36.98,12.89,15.17,14.91,0.2231,5.11,9.51,0.5327,0,NA,0.2761,0.1718,NA,95.62
Sliwinskietal2017,MasonicParkTuff,36.87,12.95,14.85,14.57,0.1808,5.33,8.96,0.5086,0.0029,NA,0.2296,0.2006,NA,94.51
Sliwinskietal2017,MasonicParkTuff,36.56,12.48,14.94,13.97,0.2328,5.21,8.58,0.4121,0.1635,NA,0.2945,0.158,NA,92.84
Sliwinskietal2017,MasonicParkTuff,36.92,12.97,14.77,14.96,0.1529,5.36,9.15,0.4888,0.0187,NA,0.2867,0.1673,NA,95.08
Sliwinskietal2017,MasonicParkTuff,37.24,12.83,14.99,14.81,0.2019,5.07,9.2,0.5285,0.0215,NA,0.3556,0.138,NA,95.21
Sliwinskietal2017,MasonicParkTuff,36.5,12.78,15.5,14.55,0.1559,5.15,8.97,0.5367,0.0105,NA,0.9347,0.1364,NA,94.8
