DataSource,Eruption,Li_ppm,Ti_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curryetal2021a,SnowshoeMountainTuff,30.9,630.3,186,96.7,5.2,71.8,11.7,4.8,305.3043457,28.14020083,37.78576974,2.80691491,7.383156382,0.807312194,0.196955346,0.582352028,0.097111135,0.677034898,0.161351514,0.485007251,0.094694884,0.840989921,0.166759773,2.964883726,0.652361298,20.05757272,16.71789946,6.621793502
Curryetal2021a,SnowshoeMountainTuff,27.6,720,169.5,98.5,6.9,78.6,12.3,4.2,443.6145244,28.65521576,40.00428867,3.08861525,8.887860036,1.071860515,0.271601914,0.889021049,0.148581767,0.866057875,0.206472885,0.618812351,0.138731453,1.18086897,0.204215634,2.975644866,0.752539877,23.21068612,14.89265478,5.888878307
Curryetal2021a,SnowshoeMountainTuff,25.4,657.7,173.8,94.5,5.9,74.9,11.5,4.4,348.5178148,28.58676588,39.04306506,2.960633904,8.017938702,1.056223774,0.199802756,0.966599116,0.12239938,0.633240227,0.179588095,0.546128306,0.101774869,0.950931846,0.16047124,3.064199465,0.679997973,23.82893342,15.88266088,6.258032427
Curryetal2021a,SnowshoeMountainTuff,25.4,638.2,171.6,91,5.4,72.2,11.4,4.4,336.1313332,27.51244431,37.584556,3.009469004,7.882350711,1.078539827,0.218570056,0.75538713,0.106965354,0.691181389,0.141479924,0.561838076,0.100441408,0.906931904,0.172555701,2.884932217,0.649787143,23.18721026,15.64850845,6.189187124
Curryetal2021a,SnowshoeMountainTuff,23.3,632.3,168.9,89.5,5.6,72.5,11.9,4.3,352.4272582,26.91838026,36.89234498,3.039305769,8.273458316,1.102130452,0.205638368,0.817953457,0.117384358,0.710574386,0.15839487,0.598779418,0.109521281,0.878246388,0.163710875,2.687534844,0.694502926,24.45685631,14.55058448,5.86668555
Curryetal2021a,SnowshoeMountainTuff,25.6,640.3,172,83,5.6,73.1,12,4.4,240.5556666,28.11346852,37.52300969,2.831909012,7.240975692,0.846454314,0.209930164,0.65356801,0.089709867,0.698372275,0.140155386,0.587066254,0.103500738,0.842622385,0.173174137,2.936612583,0.699960077,23.17408249,15.64644244,6.111288384
Curryetal2021a,SnowshoeMountainTuff,25.8,594.8,175.1,78.9,5.4,69.1,11.7,4.5,221.9892978,28.05268108,37.10760254,2.761877135,6.704062672,0.94831054,0.234713796,0.603768633,0.094907,0.525350795,0.144255262,0.546012786,0.098502152,0.95033839,0.166377376,2.922961783,0.70492816,26.21502663,16.04015415,6.448409768
Curryetal2021a,SnowshoeMountainTuff,20.5,614.2,179.7,79.5,5.3,69.1,12.2,4.5,223.2340813,28.88080013,37.83072363,2.726556917,7.30992303,0.871617887,0.168820089,0.546209032,0.099671269,0.70848501,0.133523269,0.564028166,0.107370425,0.941797301,0.174133207,2.909497809,0.654323883,23.02861635,16.6129433,6.641389237
Curryetal2021a,SnowshoeMountainTuff,23.4,605.2,176.2,77.9,4.9,67,12,4.5,218.8695477,27.34141872,36.45110347,2.614519604,7.049252023,0.787518953,0.142515226,0.53456225,0.076728024,0.61973198,0.137455818,0.516087093,0.096061432,0.837944327,0.170523388,2.734397505,0.699493713,22.20077175,15.57640336,6.46234311
Curryetal2021a,SnowshoeMountainTuff,22,616,178,81,5,67.1,12,4.5,245.1331604,27.61742213,36.30713557,2.746111592,7.081539746,0.929501852,0.267555354,0.39758063,0.108152341,0.614894682,0.135836264,0.551428525,0.093227696,0.881423989,0.162502306,2.80704527,0.668021693,22.92620703,15.55195079,6.184705153
