DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Sliwinskietal2019,NelsonMountainTuff,53.3,0.2,0.6,8.8,0.7,14.3,22,0.1,100
Sliwinskietal2019,NelsonMountainTuff,52.6,0.3,1,9.7,0.6,13.9,21.8,0.5,100.4
Sliwinskietal2019,NelsonMountainTuff,53,0.3,1.3,8.8,0.4,14.2,22.5,0.5,101
Sliwinskietal2019,NelsonMountainTuff,53.1,0.3,0.8,8.5,0.7,13.9,22.4,0.5,100.2
Sliwinskietal2019,NelsonMountainTuff,52.8,0.3,1.2,9.1,0.9,13.8,21.8,0.5,100.4
Sliwinskietal2019,NelsonMountainTuff,53.5,0.2,0.4,8.5,0.9,13.7,23.2,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,53.7,0.2,0.6,8.6,0.8,13.8,22.9,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53.002,0.189,2.061,7.572,0.186,15.995,20.95,0.287,100.242
Sliwinskietal2019,NelsonMountainTuff,51.393,0.46,3.18,8.359,0,14.752,20.819,0.233,99.196
Sliwinskietal2019,NelsonMountainTuff,50.289,0.649,3.618,10.159,0.381,13.997,20.268,0.204,99.565
Sliwinskietal2019,NelsonMountainTuff,52.365,0.295,0.603,26.27,0.758,18.756,1.623,0.141,100.811
Sliwinskietal2019,NelsonMountainTuff,54.159,0.205,0.77,19.482,0.698,23.55,1.362,0.144,100.37
Sliwinskietal2019,NelsonMountainTuff,54.199,0.24,0.907,18.292,0.518,24.626,1.331,0.158,100.271
Sliwinskietal2019,NelsonMountainTuff,52.38,0.326,0.816,9.043,1.135,13.229,22.243,0.181,99.353
Sliwinskietal2019,NelsonMountainTuff,52.833,0.219,1.04,8.195,1.077,14.315,21.582,0.216,99.477
Sliwinskietal2019,NelsonMountainTuff,54.137,0.307,0.778,19.326,0.686,24.009,1.344,0.164,100.751
Sliwinskietal2019,NelsonMountainTuff,52.563,0.306,0.901,9.185,0.982,13.159,22.191,0.156,99.443
Sliwinskietal2019,NelsonMountainTuff,53.625,0.29,0.682,19.096,0.748,23.251,2.112,0.191,99.995
Sliwinskietal2019,NelsonMountainTuff,53.451,0.004,0.489,8.546,0.878,13.92,22.715,0.249,100.252
Sliwinskietal2019,NelsonMountainTuff,51.697,0.476,2.588,8.501,0,14.892,21.014,0.204,99.372
Sliwinskietal2019,NelsonMountainTuff,52.24,0.307,1.273,8.816,0.793,13.402,22.012,0.223,99.066
Sliwinskietal2019,NelsonMountainTuff,52.58,0.196,0.741,8.689,0.865,13.438,22.519,0.181,99.209
Sliwinskietal2019,NelsonMountainTuff,53.947,0.201,0.687,18.774,0.71,23.971,1.31,0.145,99.745
Sliwinskietal2019,NelsonMountainTuff,54.565,0.32,0.553,18.77,0.635,24.38,1.414,0.161,100.798
Sliwinskietal2019,NelsonMountainTuff,52.525,0.285,1.024,8.402,0.906,13.953,21.979,0.183,99.257
Sliwinskietal2019,NelsonMountainTuff,52.746,0.312,0.555,8.783,1.058,13.539,22.563,0.164,99.72
Sliwinskietal2019,NelsonMountainTuff,54.167,0.233,0.674,19.39,0.652,24.076,1.336,0.149,100.677
Sliwinskietal2019,NelsonMountainTuff,51.667,0.611,2.419,8.297,0.297,14.833,21.012,0.27,99.406
Sliwinskietal2019,NelsonMountainTuff,51.913,0.487,1.803,10.437,0.484,13.967,20.675,0.196,99.962
Sliwinskietal2019,NelsonMountainTuff,52.765,0.193,0.682,8.71,1.252,13.386,22.256,0.168,99.412
Sliwinskietal2019,NelsonMountainTuff,52.978,0.128,0.711,9.15,0.929,13.207,22.772,0.157,100.032
Sliwinskietal2019,NelsonMountainTuff,53.73,0.398,0.753,19.556,0.588,23.491,1.735,0.153,100.404
Sliwinskietal2019,NelsonMountainTuff,53.104,0.284,0.71,8.537,0.987,13.597,22.664,0.184,100.067
Sliwinskietal2019,NelsonMountainTuff,53.996,0.305,0.76,19.496,0.639,23.772,1.419,0.161,100.548
Sliwinskietal2019,NelsonMountainTuff,52.205,0.188,0.651,11.42,1.307,12.053,21.809,0.141,99.774
Sliwinskietal2019,NelsonMountainTuff,53.086,0,0.556,8.454,1.284,13.498,22.189,0.168,99.235
Sliwinskietal2019,NelsonMountainTuff,52.919,0.16,0.707,9.24,0.888,13.324,22.644,0.24,100.122
Sliwinskietal2019,NelsonMountainTuff,54.704,0.259,0.568,18.625,0.615,24.538,1.404,0.174,100.887
Sliwinskietal2019,NelsonMountainTuff,52.225,0.425,1.676,9.559,0.334,14.915,21.004,0.287,100.425
Sliwinskietal2019,NelsonMountainTuff,51.882,0.504,1.843,10.376,0.315,14.503,20.28,0.195,99.898
Sliwinskietal2019,NelsonMountainTuff,52.24,0.512,1.701,9.191,0.246,14.818,20.677,0.258,99.643
Sliwinskietal2019,NelsonMountainTuff,51.989,0.518,1.954,8.871,0.368,14.841,20.807,0.237,99.585
Sliwinskietal2019,NelsonMountainTuff,52.844,0.008,0.549,8.742,0.901,13.564,22.623,0.174,99.405
Sliwinskietal2019,RatCreekTuff,51.5,0.5,2.2,10.5,0.4,15,20.2,0.3,100.6
Sliwinskietal2019,RatCreekTuff,52,0.6,1.8,9.9,0.4,15.5,20.6,0.3,101.1
Sliwinskietal2019,RatCreekTuff,52.1,0.5,2,9.3,0.4,16.1,20.7,0.2,101.3
Sliwinskietal2019,RatCreekTuff,52.9,0.1,0.9,9.6,0.8,14,22.5,0.3,101.1
Sliwinskietal2019,RatCreekTuff,51.8,0.5,2.2,8.9,0.2,16.1,20.7,0.3,100.7
Sliwinskietal2019,RatCreekTuff,52.9,0.2,0.8,8.4,0.8,14.8,22.2,0.6,100.7
Sliwinskietal2019,RatCreekTuff,52.8,0.2,1,8.5,1.3,14.5,21.8,0.7,100.8
Sliwinskietal2019,RatCreekTuff,50.9,0.6,3.7,9.3,0.4,16.1,19.9,0.3,101.2
Sliwinskietal2019,RatCreekTuff,53.1,0.3,0.8,8.4,1,14.7,22.3,0.3,100.9
Sliwinskietal2019,RatCreekTuff,53.2,0.3,1,9.3,0.7,15.5,21.5,0.3,101.8
Sliwinskietal2019,RatCreekTuff,51.5,0.3,1.1,8.9,0.6,15,20.8,0.3,98.5
Sliwinskietal2019,RatCreekTuff,51.5,0.2,2,5.7,0.1,17.1,21.2,0.2,98
Sliwinskietal2019,RatCreekTuff,51.2,0.2,1,9,0.6,13.8,21.6,0.3,97.7
Sliwinskietal2019,RatCreekTuff,50.3,0.6,3,9,0.3,15.8,19.3,0.2,98.5
Sliwinskietal2019,RatCreekTuff,50.8,0.4,1.8,8.6,0.9,14.1,21.8,0.3,98.7
Sliwinskietal2019,RatCreekTuff,51.4,0.2,0.8,8.1,0.9,14.6,21.9,0.2,98.1
Sliwinskietal2019,RatCreekTuff,51.7,0.1,0.9,8.3,0.9,14.9,21.4,0.3,98.5
Sliwinskietal2019,RatCreekTuff,51.3,0.1,0.8,9,0.7,13.7,22,0.2,97.8
Sliwinskietal2019,RatCreekTuff,51.3,0.2,0.9,7.7,0.9,14.3,21.7,0.3,97.3
Sliwinskietal2019,RatCreekTuff,51.3,0.3,1.1,8.4,0.7,14.6,21.3,0.3,98
Sliwinskietal2019,RatCreekTuff,53.3,0.2,0.8,8.2,0.7,15.3,22.6,0.2,101.3
Sliwinskietal2019,RatCreekTuff,53.1,0.2,0.9,7.8,0.8,15.4,22.3,0.3,100.8
Sliwinskietal2019,RatCreekTuff,53,0.2,0.9,8.7,1.2,14.6,22,0.7,101.3
Sliwinskietal2019,RatCreekTuff,51.4,0.7,3.1,8,0.3,16.2,21,0.3,101
Sliwinskietal2019,RatCreekTuff,53.5,0.2,0.8,8.4,0.9,15,22.3,0.3,101.4
Sliwinskietal2019,RatCreekTuff,53.1,0.3,1,8.5,0.8,15.5,21.9,0.3,101.4
Sliwinskietal2019,RatCreekTuff,52.1,0.5,2.5,8.6,0.3,16.2,20.5,0.3,101
Sliwinskietal2019,RatCreekTuff,52,0.7,2.3,9.2,0.2,16.3,20.6,0.3,101.6
Sliwinskietal2019,RatCreekTuff,53.8,0.1,0.7,8.5,0.8,15.1,22.5,0.3,101.8
Sliwinskietal2019,RatCreekTuff,53.3,0.3,0.7,8.5,0.7,15.2,22.3,0.3,101.3
Sliwinskietal2019,RatCreekTuff,52.8,0.2,1,8.5,1,15.2,22.1,0.3,101.1
Sliwinskietal2019,RatCreekTuff,53,0.3,1.3,8.9,0.6,15.2,21.6,0.3,101.2
Sliwinskietal2019,RatCreekTuff,52.6,0.2,0.9,8.6,0.9,15,22.3,0.3,100.8
Sliwinskietal2019,RatCreekTuff,52.8,0.2,1.1,8.4,0.8,15.6,22,0.3,101.2
Sliwinskietal2019,RatCreekTuff,52.8,0.2,1.2,9,0.5,15.4,21.7,0.2,101
Sliwinskietal2019,RatCreekTuff,52.6,0.4,1.2,8.9,0.6,15.1,21.9,0.3,101
Sliwinskietal2019,RatCreekTuff,53.1,0.2,0.9,8.8,0.5,15.5,21.5,0.3,100.8
Sliwinskietal2019,RatCreekTuff,53.1,0.2,1,8.2,0.8,15.1,22.4,0.3,101.1
Sliwinskietal2019,RatCreekTuff,53.5,0.1,0.7,8,0.8,15.2,22.6,0.2,101.1
Sliwinskietal2019,RatCreekTuff,53.4,0.3,1,7.7,0.6,15.5,22.6,0.3,101.4
Sliwinskietal2019,RatCreekTuff,53.5,0.2,0.9,8.7,0.7,15,22.4,0.3,101.7
Sliwinskietal2019,RatCreekTuff,53.4,0.1,0.8,8.5,0.8,15.1,22.4,0.3,101.4
Sliwinskietal2019,RatCreekTuff,51.9,0.6,1.8,10.9,0.4,15,20.1,0.2,100.9
Sliwinskietal2019,RatCreekTuff,52.7,0.2,1.6,9.4,0.6,14.8,21.5,0.3,101.1
Sliwinskietal2019,RatCreekTuff,52.1,0.5,1.7,8.4,0.9,14.5,22.2,0.2,100.5
Sliwinskietal2019,RatCreekTuff,52.3,0.6,2,10.3,0.3,15.3,20.3,0.3,101.4
Sliwinskietal2019,RatCreekTuff,51.6,0.6,2.3,9,0.2,16.2,20.8,0.2,100.9
Sliwinskietal2019,RatCreekTuff,53.5,0.2,1,8.4,0.7,15.5,21.9,0.3,101.5
Sliwinskietal2019,RatCreekTuff,52.6,0.5,2.2,9.5,0.4,16.3,20.5,0.3,102.3
Sliwinskietal2019,RatCreekTuff,53.2,0.2,1.1,8.7,0.6,15.8,21.6,0.3,101.5
Webber1988Thesis,BlueCreekTuff,52.57,0.25,1.25,9.21,0.87,14.47,21.93,0.45,101
Webber1988Thesis,BlueCreekTuff,52.93,0.27,1.39,9.35,0.87,14.84,22.1,0.47,102.22
Webber1988Thesis,BlueCreekTuff,53.22,0.28,1.34,9.36,0.84,15.27,21.89,0.42,102.62
Webber1988Thesis,BlueCreekTuff,49.83,0.23,0.92,8.72,0.97,15.36,21.79,0.62,98.44
Webber1988Thesis,BlueCreekTuff,49.3,0.26,1.62,8.56,0.8,15.47,22.21,0.35,98.57
Webber1988Thesis,BlueCreekTuff,50.36,0.31,1.61,9.19,0.96,14.77,21.88,0.21,99.29
Webber1988Thesis,BlueCreekTuff,50.45,0.32,1.49,9.03,0.9,15.1,22.04,0,99.33
Webber1988Thesis,BlueCreekTuff,51.91,0.27,1.49,8.77,0.88,15.59,22.47,0.12,101.5
Webber1988Thesis,BlueCreekTuff,51.87,0.23,1.18,8.59,0.89,14.45,22.44,0,99.65
Webber1988Thesis,BlueCreekTuff,51.87,0.2,1.06,8.58,0.89,14.65,22.6,0,99.85
Webber1988Thesis,BlueCreekTuff,51.12,0.2,0.99,8.65,0.8,15.33,21.31,0.04,98.44
Webber1988Thesis,BlueCreekTuff,51.89,0.25,0.8,8.04,0.91,14.86,22.13,0.02,98.9
Webber1988Thesis,BlueCreekTuff,52.64,0.19,0.8,9.57,0.83,13.96,21.54,0,99.53
Webber1988Thesis,BlueCreekTuff,52.33,0.23,0.7,8.56,0.87,14.99,21.86,0.19,99.73
Webber1988Thesis,BlueCreekTuff,53.29,0.17,0.7,8.33,0.94,14.33,21.91,0.1,99.77
Webber1988Thesis,BlueCreekTuff,53.72,0.23,0.75,8.68,1,14.67,21.67,0.05,100.77
Webber1988Thesis,BlueCreekTuff,52.75,0.22,1.34,8.78,0.85,15.55,21.28,0.42,101.19
Webber1988Thesis,BlueCreekTuff,52.51,0.25,1.03,8.84,0.92,14.81,21.48,0.35,100.19
Webber1988Thesis,BlueCreekTuff,52.87,0.33,0.77,9.21,0.86,14.67,22.02,0.51,101.24
Webber1988Thesis,BlueCreekTuff,52.74,0.27,1.49,8.92,0.91,14.9,21.78,0.36,101.37
Webber1988Thesis,BlueCreekTuff,53.03,0.27,1.63,8.77,0.92,14.73,21.9,1.24,102.49
Webber1988Thesis,BlueCreekTuff,53.35,0.28,1.45,9.21,0.94,15.29,21.81,0.82,103.15
Webber1988Thesis,WasonParkTuff,52.38,0.22,1.04,9.13,1.33,14.13,21.71,0.52,100.46
Webber1988Thesis,WasonParkTuff,52.91,0.2,1.1,8.52,0.81,14.51,22.39,0.39,100.83
Webber1988Thesis,WasonParkTuff,53.72,0.19,0.83,8.36,1.28,15.27,20.09,0.44,100.18
Webber1988Thesis,WasonParkTuff,52,0.22,0.86,9.2,1.37,13.95,21.45,0.47,99.52
Webber1988Thesis,WasonParkTuff,51.01,0.27,1.16,9.28,1.22,14.13,22,0.49,99.56
Webber1988Thesis,WasonParkTuff,52.07,0.22,0.93,8.75,1.36,14.26,21.81,0.47,99.87
Webber1988Thesis,WasonParkTuff,52.91,0.22,0.79,8.66,1.47,14.06,21.39,0.43,99.93
Webber1988Thesis,WasonParkTuff,50.95,0.57,1.63,11.41,0.43,15.04,19.48,0.45,99.96
Webber1988Thesis,WasonParkTuff,51.56,0.49,1.57,11.09,0.43,14.96,19.74,0.4,100.24
Webber1988Thesis,WasonParkTuff,51.79,0.28,1.23,9.24,1.22,13.97,22,0.54,100.27
Webber1988Thesis,WasonParkTuff,51.88,0.28,1.1,9.22,1.44,14.29,22.02,0.48,100.71
Webber1988Thesis,WasonParkTuff,52.38,0.22,0.87,9.26,1.48,14.35,21.67,0.54,100.77
Webber1988Thesis,WasonParkTuff,53.12,0.27,0.98,8.66,1.2,14.67,21.94,0.53,101.37
Webber1988Thesis,WasonParkTuff,49.99,0.46,1.53,11.71,0.43,14.76,19.26,0.39,98.53
Webber1988Thesis,WasonParkTuff,49.03,0.82,4.56,9.81,0.17,14.94,19.12,0.35,98.8
Webber1988Thesis,WasonParkTuff,51.97,0.49,1.48,11.11,0.34,14.81,19.31,0.28,99.79
Webber1988Thesis,WasonParkTuff,53.39,0.24,1.06,8.97,1.17,13.59,20.88,0.53,99.83
Webber1988Thesis,WasonParkTuff,51.35,0.34,1.41,10.17,0.45,15.01,21.52,0.37,100.62
Webber1988Thesis,WasonParkTuff,52.83,0.23,0.92,8.9,1.08,14.35,21.82,0.41,100.54
Webber1988Thesis,WasonParkTuff,49.55,0.85,5.04,9.5,0.18,15.03,20.1,0.37,100.62
Webber1988Thesis,WasonParkTuff,53.68,0.19,0.9,8.78,1.03,13.88,21.73,0.51,100.7
Webber1988Thesis,WasonParkTuff,53.15,0.1,0.88,8.84,1.06,14.62,21.67,0.44,100.76
Webber1988Thesis,WasonParkTuff,53.64,0.22,0.78,9.28,1.2,14.03,21.41,0.45,101.01
Webber1988Thesis,WasonParkTuff,54,0.22,0.95,9.13,1.17,13.87,21.38,0.47,101.19
Webber1988Thesis,WasonParkTuff,54.39,0.12,0.76,9,1.12,14.15,21.26,0.54,101.34
Webber1988Thesis,WasonParkTuff,53.39,0.24,1.1,8.37,0.82,15.14,22.35,0.44,101.85
Webber1988Thesis,WasonParkTuff,51.19,0.48,1.76,10.08,0.33,15.25,19.53,0.35,98.97
Webber1988Thesis,WasonParkTuff,50.78,0.63,2.93,9.74,0.29,14.51,19.74,0.54,99.16
Webber1988Thesis,WasonParkTuff,52.33,0.49,2.24,10.77,0.31,14.86,18.54,0.35,99.89
Webber1988Thesis,WasonParkTuff,51.33,0.76,2.95,9.32,0.2,14.95,20.34,0.32,100.17
Webber1988Thesis,WasonParkTuff,53.37,0.3,1.36,10.04,0.6,16.99,18.29,0.39,101.34
