DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Sliwinskietal2017,MasonicParkTuff,53.49,0.1665,1.0142,8.3,0.7276,14.6,22.21,0.3744,100.8827
Sliwinskietal2017,MasonicParkTuff,52.95,0.17,0.9636,8.53,0.7953,14.72,22.34,0.3756,100.8445
Sliwinskietal2017,MasonicParkTuff,53.1,0.1803,1.0923,8.57,0.7565,14.5,22.03,0.3825,100.6116
Sliwinskietal2017,MasonicParkTuff,53.22,0.1583,1.014,8.29,0.7602,14.78,22.06,0.3505,100.633
Sliwinskietal2017,MasonicParkTuff,53.28,0.1732,1.0371,8.3,0.7175,14.82,22.06,0.3509,100.7387
Sliwinskietal2017,MasonicParkTuff,52.93,0.1761,0.9531,8.16,0.7456,15.08,22.14,0.3523,100.5371
Sliwinskietal2017,MasonicParkTuff,45.76,0.1822,1.1425,8.88,0.6563,14.62,20.1,0.4951,91.8361
Sliwinskietal2017,MasonicParkTuff,52.52,0.1971,1.1336,9.31,0.6563,14.15,21.92,0.4579,100.3449
Sliwinskietal2017,MasonicParkTuff,52.67,0.2066,1.2253,9.46,0.6674,14.12,21.83,0.4387,100.618
Sliwinskietal2017,MasonicParkTuff,52.83,0.2257,1.2239,9.24,0.6445,14.04,21.82,0.4456,100.4697
Sliwinskietal2017,MasonicParkTuff,52.72,0.2269,1.3402,9.31,0.6687,14.07,21.69,0.4269,100.4527
Sliwinskietal2017,MasonicParkTuff,52.98,0.206,1.3114,9.35,0.6196,14.27,21.79,0.4045,100.9315
Sliwinskietal2017,MasonicParkTuff,52.93,0.2012,1.2763,9.16,0.6716,14.12,21.78,0.4458,100.5849
Sliwinskietal2017,MasonicParkTuff,52.9,0.1807,1.2175,9.34,0.6551,14.32,21.74,0.4447,100.798
Sliwinskietal2017,MasonicParkTuff,53.16,0.1939,1.2673,9.42,0.6545,14.26,21.47,0.4612,100.8869
Sliwinskietal2017,MasonicParkTuff,52.98,0.2216,1.2815,9.24,0.654,14.37,21.53,0.4716,100.7487
Sliwinskietal2017,MasonicParkTuff,52.85,0.1916,1.2918,9.19,0.6332,14.17,21.63,0.4232,100.3798
Sliwinskietal2017,MasonicParkTuff,52.83,0.1984,1.2597,9.42,0.6787,14.21,21.52,0.4512,100.568
Sliwinskietal2017,MasonicParkTuff,53.03,0.1891,1.2584,9.38,0.6669,14.13,21.61,0.4451,100.7095
Sliwinskietal2017,MasonicParkTuff,53.28,0.1856,1.2441,9.61,0.6285,14.08,21.49,0.4305,100.9487
Sliwinskietal2017,MasonicParkTuff,52.71,0.2031,1.4281,9.75,0.6368,13.89,21.4,0.455,100.473
Sliwinskietal2017,MasonicParkTuff,52.74,0.2378,1.7742,10.06,0.6133,13.63,21.08,0.5399,100.6752
Sliwinskietal2017,MasonicParkTuff,52.24,0.2247,2.1183,10.19,0.6143,13.26,20.66,0.5535,99.8608
Sliwinskietal2017,MasonicParkTuff,52.21,0.2229,2.0269,10.47,0.5921,13.6,20.64,0.5703,100.3322
Sliwinskietal2017,MasonicParkTuff,52.07,0.2439,2.0559,10.76,0.6189,13.58,20.64,0.5665,100.5352
Sliwinskietal2017,MasonicParkTuff,52.37,0.2511,1.9902,10.64,0.6224,13.57,20.65,0.5795,100.6732
Sliwinskietal2017,MasonicParkTuff,52.03,0.2328,1.9965,10.86,0.5805,13.5,20.71,0.563,100.4728
Sliwinskietal2017,MasonicParkTuff,52.15,0.2506,2.0014,10.69,0.6527,13.6,20.68,0.5494,100.5741
Sliwinskietal2017,MasonicParkTuff,52.51,0.2244,2.0411,10.38,0.6124,13.49,20.6,0.5254,100.3833
Sliwinskietal2017,MasonicParkTuff,52.22,0.2291,1.9865,10.6,0.5796,13.65,20.86,0.5697,100.6949
Sliwinskietal2017,MasonicParkTuff,51.89,0.2376,2.0048,10.25,0.6593,13.81,20.91,0.526,100.2877
Sliwinskietal2017,MasonicParkTuff,52.33,0.2611,1.9291,10.03,0.6893,14.02,20.98,0.5208,100.7603
Sliwinskietal2017,MasonicParkTuff,53.11,0.216,1.4228,9.35,0.6681,14.24,21.32,0.4362,100.7631
Sliwinskietal2017,MasonicParkTuff,52.8,0.2837,1.5205,9.23,0.7273,14.19,21.41,0.4377,100.5992
Sliwinskietal2017,MasonicParkTuff,52.29,0.2708,1.5511,9.36,0.7671,14.22,21.45,0.4212,100.3302
Sliwinskietal2017,MasonicParkTuff,53.06,0.1698,1.2273,9.22,0.7292,14.46,21.65,0.3925,100.9088
